ISLAND CITY MALL,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 4, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
103221,,SISTERS NETSIDE NIGHT USE 36/8s,PACK,"48,312.00",17.16467,"829,259.54"
103222,,SISTERS NETSIDE DAY USE 36/8s,PACK,"5,976.00",15.4482,"92,318.44"
103223,,SISTERS SILKY FLOSS DAY USE WINGS 36/8s,PACK,"40,032.00",13.44566,"538,256.66"
103224,,SISTERS SILKY FLOSS NIGHT WITH WINGS 36/8s,PACK,"13,356.00",14.94756,"199,639.61"
103225,,SISTERS SILKY FLOSS DAY USE SINGLE 36/12s,PCS,"78,192.00",1.62707,"127,223.86"
103227,,SISTERS PANTY LINER BREATHABLE 36x20s,PACK,"1,224.00",16.44947,"20,134.15"
103228,,SISTERS SILKY FLOSS ULTRA THIN WINGS 48/6s,PACK,336,13.4099,"4,505.73"
103229,,SISTERS SILKY FLOSS NIGHT USE WINGS 4s,PACK,"1,584.00",7.97439,"12,631.43"
103230,,SISTERS SILKY FLOSS DAY USE WINGS 4s,PACK,"2,232.00",7.29498,"16,282.40"
103244,,TOYO SARDINES TS GREEN 100/155G,CAN,-100,13.98214,"-1,398.21"
103249,,NELITA BEEF LOAF 48/150G,CAN,"64,128.00",12.1264,"777,641.78"
103250,,NELITA CORNED BEEF 48/150G,CAN,"2,640.00",18.42755,"48,648.73"
103254,,ROSE NELITA SPECIAL PANCIT YELLOW 200/50G,PACK,"29,200.00",4.15237,"121,249.20"
103268,,RED BULL SUPREME 50/150ML,BOT,"10,350.00",23.73714,"245,679.40"
103276,,GATSBY WATER GLOSS SUPER HARD 24/100G,PCS,120,51.41964,"6,170.36"
103280,,GATSBY WATER GLOSS HARD 48/150G,PCS,144,65.13167,"9,378.96"
103282,,GATSBY TREATMENT HAIR CREAM 864/6G,PCS,576,2.95851,"1,704.10"
103286,,GATSBY TREATMENT HAIR CREAM AD 6G,PCS,288,2.95851,852.05088
103287,,CHAMPION SPR PRM BIHON HARD 48/250G/200G,PACK,96,9.97024,957.14304
103288,,CHAMPION BIHON PREMUIM HARD 12/1KL,PACK,36,47.32143,"1,703.57"
103289,,CHAMPION SPR PRM BIHON HARD 24/500G/400G,PACK,48,19.30804,926.78592
103290,,CHAMPION SPECIAL BIHON WHITE 17/700G,PACK,51,33.08824,"1,687.50"
103291,,CHAMPION SPECIAL BIHON WHITE 12/1KL,PACK,36,46.8006,"1,684.82"
103297,,FESTIVAL SPECIAL BIHON YELLOW 12/1KL,PACK,36,46.8006,"1,684.82"
103300,,VIVA SPECIAL BIHON WHITE 3/12/1KL,PACK,24,46.8006,"1,123.21"
103301,,BLUE COW CONDENSADA 48/390G,CAN,"2,016.00",25.45313,"51,313.51"
103304,,M Y SAN GRAHAM CHOCO HP 24/225G,PACK,120,34.21235,"4,105.48"
103305,,SKYFLAKES CRACKERS 15/24/25G,PACK,165,97.89205,"16,152.19"
103306,,FITA BISCUIT No2 12/600G,CAN,48,135.86711,"6,521.62"
103310,,NATURES SPRING MINERAL WATER 1L,BOT,"2,522.00",11,"27,742.00"
103311,,NATURES SPRING MINERAL WATER 1.5L,BOT,240,16.5,"3,960.00"
103312,,NATURES SPRING MINERAL WATER 4L,GAL,96,35.35714,"3,394.29"
