ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF JUNE 21, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
103751,,MS SWT SOUR MX 57G,23,14.9257,343.29
103754,,M PINA CANE VIN 350ML,2,6.78527,13.57
103755,,M PINA CANE VIN 1LT,6,19.1525,114.92
103756,,M PINA CANE VIN 1/2GAL,8,34.35333,274.83
103757,,M PINA CANE VIN 1GAL P,2,59.375,118.75
103758,,M PINA CANE VIN 500ML,9,8.98,80.82
103759,,M PINA SKANG PUTI 350ML,2,6.78492,13.57
103761,,M PINA SKANG PUTI 1LT,7,17.67122,123.7
103763,,M PINA SOY SCE 350M,2,7.8243,15.65
103764,,MARCA PINA SOY SCE 1LT,11,19.28083,212.09
103772,,CHAMP BR TP BLUE 145G,23,5.09029,117.08
103773,,CHAMP BR TP RSC 145G,65,5.06013,328.91
103798,,ROYAL FIL SCE PPCK,1,85.03571,85.04
103815,,SURF BAR TAWAS 380G,203,13.29733,"2,699.36"
103817,,SURF BAR BLUE 380G,33,13.28672,438.46
103819,,SURF B KALMNSI 380G,359,13.30464,"4,776.37"
103823,,BF BS FRSH WHT MSK 94ML,5,177.67857,888.39
103825,,SURF BAR FC BF 360G,375,15.05532,"5,645.75"
103828,,BF BS VANILLA 94ML,8,177.67857,"1,421.43"
103833,,BRZ P ACTV BLCH 700G,31,62.62167,"1,941.27"
103840,,VAS HW FF UV LOT 100ML,7,158.70536,"1,110.94"
103841,,VAS HW FF UV LOT 350ML,2,250.26786,500.54
103842,,VAS HW FF UV LOT 200ML,12,158.70536,"1,904.46"
103847,,DVE BS GLW LOTUS 100G,44,40.22321,"1,769.82"
103862,,DM SPA 6/240ML,5,117.34821,586.74
103863,,DM 4SSN 6/240ML,20,117.34821,"2,346.96"
103874,,MM TBC TLTSHLD 500ML,7,80.35714,562.5
103875,,POSH IM 11+1/15ML,393,41.74107,"16,404.24"
103876,,POSH HS 11+1/15ML,338,41.74107,"14,108.48"
103877,,POSH SHP SS 11+1/15ML,122,41.74107,"5,092.41"
103878,,CELTEQUE HYD MIST 50ML,1,116.46429,116.46
103902,,NES DS CHOCO VAN 100ML,5,16.23214,81.16
103907,,NOB 3n1 CH MNGA UBE 1.5L,5,81.16964,405.85
103910,,SMC 3n1 SF WHT 9G,50,5.0625,253.13
103920,,JOLY YOGURT IC 12s,100,8.92857,892.86
