ALTURAS MAIN,,,,,,,
INVENTORY VALUATION REPORT,,,,,,,
"AS OF DECEMBER 31, 2021",,,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST ,
100303,,12324 DAIMARU CHEESE GRATER,PCS,16,10.78571,172.57136,
100304,,802 DAIMARU BASIN COLORED 16 inches,PCS,37,45.9375,"1,699.69",
100306,,6124 SYNTEC BIG DRIPPER SET,SET,1,37.5,37.5,
100307,,315 DAIMARU SPACE SAVER,PCS,12,46.41071,556.92852,
100308,,80278 HORIZON FLIP N KEEP,PCS,12,50.16071,601.92852,
100314,,788 V DAIMARU FOOD COVER VIRGIN ROUND,PCS,26,35.16071,914.17846,
100318,,11780 DAIMARU LUNCH BOX,PCS,52,11.48208,597.06816,
100319,,20697 DAIMARU FOOD KEEPER,PCS,-1,21.09821,-21.09821,
100320,,81579 LUNCHBOX WITH STRIPES,PCS,8,9.84833,78.78664,
100321,,92096 HORIZON CANNISTER SMALL,PCS,6,12.42,74.52,
100322,,1130 HALO HALO TUMBLER COLORED,PCS,1,6.79,6.79,
100323,,11021 COFFEE MUG,PCS,143,6.79464,971.63352,
100326,,914 DAIMARU PITCHER COLORED,PCS,11,40.3125,443.4375,
100327,,914 DAIMARU PITCHER WHITE,PCS,12,41.25,495,
100328,,05018 HORIZON POUR N FLOW,PCS,24,36.09821,866.35704,
100329,,0324 SOAPCASE,PCS,74,6.79464,502.80336,
100334,,330 HEAVY DUTY SCOURING PAD SMALL,PCS,61,24.27667,"1,480.88",
100335,,941 HOUSEWELL STNLESS STEEL SCRUBBER SML,PCS,6,10.98214,65.89284,
100337,,WS 61 LIGHT SCOURING PAD MEDUIM,PCS,305,9.53584,"2,908.43",
100338,,502 HOUSEWELL DOUBLE SIDED SCOURING PAD,PCS,11,26.14275,287.57025,
100339,,311 PROMO STEEL WOOL DOUBLE,PACK,2,20.30333,40.60666,
100340,,WS 7 DUAL SCOURING SPONGE PAD SMALL,PCS,16,14.5625,233,
100342,,WS 5 DUAL SCOURING PAD WITH SPONGE LARGE,PCS,198,25.0275,"4,955.45",
100343,,520 HOUSEWELL STEEL WOOL DOUBLE 10s,PCS,1,10.15179,10.15179,
100344,,141504S NET SPONGE SINGLE,PCS,2,17.74107,35.48214,
100345,,141504D NET SPONGE DOUBLE 2s,PACK,-12,33.24107,-398.89284,
100346,,500 HOUSEWELL SPONGE PAD SMALL,PCS,7,5.79,40.53,
100347,,907 HOUSEWELL WHITE LAUNDRY NET SCRUBBER,PCS,72,20.27679,"1,459.93",
100348,,508 SQUARE NET AND TOWEL SCRUBBING PAD,PCS,1,17.69643,17.69643,
100349,,W 104 WELUP TOILET BRUSH,PCS,1,53.97321,53.97321,
100352,,20813 HOUSEWELL ANCHOR PL LAUNDRY BRUSH,PCS,15,50.125,751.875,
100353,,30505 STANDARD SHOE BRUSH,PCS,2,40.8925,81.785,
100354,,31120 HOUSEWELL SHOE BRUSH,PCS,69,35.10714,"2,422.39",
100355,,93 HOUSEWEL STAINLESS STEEL SCRUBBER BIG,PCS,2,19.57143,39.14286,
100356,,503 HOUSEWELL POT CLEANER,PCS,37,5.86607,217.04459,
100358,,BX 65 WELUP BAMBOO TOOTHPICK 300s,CANN,61,31.07143,"1,895.36",
100361,,96 HOUSEHOLD RUBBER GLOVE LARGE,PAIR,2,69.28571,138.57142,
100363,,RT 701A PVA SWAB MOP STANDARD,PCS,2,362.35714,724.71428,
100364,,TS 030 HOUSEWELL MULTI PURPOSE SPRAYER,PCS,23,46.08929,"1,060.05",
100379,,88 HOUSEWELL 4INCH WOODEN MOP SET,SET,5,232.16071,"1,160.80",
100381,,80 HOUSEWELL PURE COTTON MOP HEAD NO 300,PACK,2,77.27679,154.55358,
100382,,81 HOUSEWELL PURE COTTON MOP HEAD NO 400,PACK,2,103.71429,207.42858,
100383,,908 WELUP SOFT TWINE  SMALL 25G,PCS,183,12.02679,"2,200.90",
100384,,909 WELUP SOFT TWINE MEDIUM 50G,PCS,15,25.58036,383.7054,
100385,,910 WELUP SOFT TWINE LARGE 100G,ROLL,22,47.16964,"1,037.73",
100386,,130849 HOUSEWELL PLASTIC TWINE 1KL,ROLL,23,96.84821,"2,227.51",
100387,,735 S NEWLOOK LUNCH BOX,PCS,4,13.59821,54.39284,
100389,,8820 STAINLESS PEELER,PCS,2,33.10714,66.21428,
100393,,90140 DAIMARU BASIN COLORED,PCS,59,19.91964,"1,175.26",
100394,,374 NEW LOOK TUMBLER WITH COVER BIG,PCS,72,8.66964,624.21408,
100395,,374 NEW LOOK TUMBLER WITH COVER SMALL,PCS,73,7.26786,530.55378,
100396,,0615 DAIMARU KEEP N STORE,PCS,2,33.04464,66.08928,
100405,,NESCAFE CONTAINER MEDUIM WITH COVER,PCS,503,5.33929,"2,685.66",
100406,,NESCAFE CONTAINER SMALL WITH COVER,PCS,250,4.41071,"1,102.68",
100407,,NESCAFE CONTAINER LARGE WITH COVER,PCS,239,6.26786,"1,498.02",
100410,,MANDARIN MEDIUM BOTTLE WITH COVER,PCS,-1,5.13393,-5.13393,
100411,,MANDARIN 6OZ BOTTLE WITH COVER,PCS,532,3.71429,"1,976.00",
100413,,53 SANICON PLATIC JAR W/YELLOW CAP,PCS,11,13.60714,149.67854,
100414,,55 SANICON PLASTIC  JAR W/YELLOW CAP,PCS,36,13.60714,489.85704,
100415,,103 SANICON PLASTIC JAR W/YELLOW CAP,PCS,6,21.88393,131.30358,
100416,,SANICON R SMALL PLASTIC JAR W/WHITE CAP,PCS,3,8.55,25.65,
100420,,BREEZE LIQ DET FRONTLOAD 16x6+1/60ML,PACK,32,52.03739,"1,665.20",
100422,,SURF FABCON ANTI BACTERIAL 50x6+1/25ML,PACK,1,21.70286,21.70286,
100428,,SURF FABCON BLOSSOM FRSH DISC 6x720ML+720ML,PACK,1,131.32589,131.32589,
100431,,S 14 N ADIDAS HANGER FLAT NEON COLORS,PCS,108,3.94271,425.81268,
100432,,S 15 N SOLID HANGER ROUND NEON COLORS,PCS,156,4.65179,725.67924,
100434,,1201 CLEAN SPOON AND FORK HOLDER,PCS,1,36.38393,36.38393,
100436,,808 A FROST CANISTER W/SCOOP LARGE,PCS,3,19.84821,59.54463,
100438,,SMUCKERS STRAWBERRY PRESERVE 12/12oz,JAR,15,126.62723,"1,899.41",
100441,,1206 CLEANWARE TOILET BRUSH PLASTIC HDL,PCS,-1,20.67,-20.67,
100442,,1209 CLEAN DUAL SOAP TRAY,PCS,-1,21.5,-21.5,
100443,,1209 C DUAL SOAP TRAY WITH COVER,PCS,12,31.83083,381.96996,
100444,,1216 CLEANWARE SINGLE SOAP DISH,PCS,4,10.33929,41.35716,
100449,,BOSTON CIGARETTES 500s,PACK,250,6.4,"1,600.00",
100450,,FREEDOM CIGARETTES 50s,PACK,-100,7.4,-740,
100451,,NAVY CLUB FILTER KING 500s,PACK,"1,009.00",69.86607,"70,494.86",
100455,,SPARK KLEEN POWDER 24/500G,PCS,25,24.1188,602.97,
100456,,SPARK KLEEN POWDER 12/1KL,PCS,13,40.92857,532.07141,
100457,,ABSOLUTE DISTILLED WATER 12x1500ML,BOT,7,26.1875,183.3125,
100458,,SUMMIT NATURAL SPRING WATER 24/500ML,BOT,-304,7.66042,"-2,328.77",
100459,,SUMMIT NATURAL SPRING WATER 12/1000ML,BOT,-38,13.15789,-499.99982,
100460,,RAM PORK AND BEANS 24/390G,CAN,1,35.88862,35.88862,
100462,,SEVILLA TOMATO PASTE SUP 160G,PCS,35,18.06999,632.44965,
100464,,DOLE PINEAPPLE SLICED FLAT 24/227G,CAN,323,22.84152,"7,377.81",
100465,,DOLE PINEAPPLE SLICED 24/432G,CAN,6,36.62351,219.74106,
100466,,DOLE PINEAPPLE SLICED 24x822G,CAN,92,60.54799,"5,570.42",
100467,,DOLE PINEAPPLE SLICED 6/3.06KG No 10,CAN,6,206.27679,"1,237.66",
100471,,DOLE PINEAPPLE CHUNKS FLAT 24x227G,CAN,714,20.49033,"14,630.10",
100472,,DOLE PINEAPPLE CHUNKS 24x560G,CAN,2,44.81994,89.63988,
100473,,DOLE PINEAPPLE CHUNKS 6/3.06KG,CAN,2,140.6875,281.375,
100476,,DOLE PINEAPPLE TIDBITS 24x432G,CAN,110,34.36868,"3,780.55",
100478,,DOLE PINEAPPLE CRUSHED 24/567G,CAN,-1,33.34833,-33.34833,
100479,,DOLE TF COCKTAIL MORE CHERRIES 6/3.06KG,CAN,34,184.2753,"6,265.36",
100484,,RAM WHOLE KERNEL CORN THAILAND 24/410G,CAN,162,25.81868,"4,182.63",
100486,,RAM COOKED DRY PEAS 100/155G,CAN,-45,11.25893,-506.65185,
100487,,RAM GREEN PEAS 48/225G,CAN,97,18.14286,"1,759.86",
100488,,RAM GREEN PEAS 24/450G,CAN,44,27.51477,"1,210.65",
100489,,SEVILLA DRY PEAS 100/155G,CAN,55,9.14,502.7,
100490,,SHINEMASTER FLOOR WAX RED 72/90G,PCS,76,11.89286,903.85736,
100491,,SHINEMASTER DYE WAX RED 72/90G,PCS,170,11.6714,"1,984.14",
100492,,SHINEMASTER DYE WAX RED 36/225G,PCS,55,26.00893,"1,430.49",
100494,,SHINEMASTER FLOOR WAX COLORLESS 72/90G,PCS,64,10.84348,693.98272,
100495,,SHINEMASTER FLOOR WAX NATURAL 72/90G,PCS,326,11.41071,"3,719.89",
100496,,SHINEMASTER FLOOR WAX RED 36/180G,PCS,133,21.54469,"2,865.44",
100497,,DOLE PINEAPPLE ORANGE 6/2.9L,CAN,40,104.91518,"4,196.61",
100500,,DOLE PINEAPPLE ORANGE 12/1.36LT,CAN,-4,50.23458,-200.93832,
100507,,DOLE FOUR SEASONS JUICE DRINK 24/240ML,CAN,503,19.04167,"9,577.96",
100508,,DOLE FOUR SEASONS JUICE DRINK 12/1.36L,CAN,-1,44.08036,-44.08036,
100509,,TITA ELY KAONG WHITE 24/8oz,BOT,60,38.90402,"2,334.24",
100510,,TITA ELY KAONG RED 24/8oz,BOT,40,38.90402,"1,556.16",
100511,,TITA ELY KAONG GREEN 24/12oz,BOT,55,52.64509,"2,895.48",
100512,,TITA ELY KAONG RED 24/12oz,BOT,114,52.64509,"6,001.54",
100513,,TITA ELY KAONG RED 12/24oz,BOT,44,97.65625,"4,296.88",
100514,,TITA ELY KAONG RED 12/32oz,BOT,22,118.26786,"2,601.89",
100515,,TITA ELY NATA DE COCO GREEN 24/12oz,BOT,268,39.66741,"10,630.87",
100516,,TITA ELY NATA DE COCO GREEN 24/8oz,BOT,38,31.65179,"1,202.77",
100517,,TITA ELY NATA DE COCO RED 12/24oz,BOT,24,72.84598,"1,748.30",
100518,,TITA ELY NATA DE COCO RED 24/12oz,BOT,180,39.66741,"7,140.13",
100521,,RAM SWEET PICKLE CHIPS 24/135G,BOT,8,34.41065,275.2852,
100528,,SEVILLA RAISINS 288/30G,PCS,-57,5.67,-323.19,
100529,,SEVILLA RAISINS 24/200G,PACK,192,60.24933,"11,567.87",
100531,,DATU PUTI SPICED VINEGAR 24/350ML,BOT,23,32.86842,755.97366,
100532,,PAPA BANANA CATSUP REGULAR 24/320G,BOT,209,19.41964,"4,058.70",
100533,,PAPA BANANA CATSUP REGULAR 8/1/2 GAL,BOT,164,84.60938,"13,875.94",
100534,,PAPA BANANA CATSUP REGULAR 4/1GAL,GAL,102,161.58549,"16,481.72",
100535,,MOTHERS BEST BANANA KETCHUP 24x340G,BOT,2,13.73735,27.4747,
100537,,MOTHERS BEST BANANA KETCHUP 4/1GAL,GAL,10,118.73661,"1,187.37",
100539,,DATU PUTI SOY SAUCE 24/385ML,BOT,2,15.70268,31.40536,
100546,,CHARANTIA AMPALAYA TEA BAGS 20/35G,PCS,-7,8.99554,-62.96878,
100547,,STARWAX COLORLESS 72/90G,PCS,125,10.15712,"1,269.64",
100548,,STARWAX NATURAL 72/90G,PCS,131,10.15712,"1,330.58",
100549,,STARWAX RED 24/450G,PCS,16,67.20647,"1,075.30",
100550,,STARWAX RED 12/900G,PCS,12,128.99554,"1,547.95",
100551,,STARWAX DYE WAX RED 72/90G,PCS,217,10.49566,"2,277.56",
100552,,STARWAX DYE WAX RED 12/900G,CAN,13,133.05878,"1,729.76",
100553,,PRIDE DET POWDER POWER WASH 12x1000G,BOX,-12,61.95833,-743.49996,
100554,,PRIDE DET POWDER POWER WASH 6x2000G,BOX,20,122.5625,"2,451.25",
100555,,PRIDE DET POWDER POWER WASH 24x500G,BOX,66,31.65625,"2,089.31",
100556,,SMART DW PASTE LEMON 36/400G,PCS,265,26.57788,"7,043.14",
100557,,PRIDE BAR KALAMANSI 36/400G,BAR,-11,13.88145,-152.69595,
100558,,PRIDE BAR WHITE 1/4 CUT 144/100G,PCS,-145,3.555,-515.475,
100559,,UNIQUE TP MAXIMUM 108x50ML,PCS,325,16.59003,"5,391.76",
100560,,UNIQUE TP MAXIMUM 72x100ML,PCS,144,28.27071,"4,070.98",
100561,,UNIQUE TP MAXIMUM 48x150ML,PCS,-1,37.75083,-37.75083,
100562,,UNIQUE TP ADVANCE ORAL CARE 108x50ML,PCS,33,14.28574,471.42942,
100563,,UNIQUE TP ADVANCE ORAL CARE 72x100ML,PCS,269,28.27071,"7,604.82",
100564,,UNIQUE TP ADVANCE ORAL CARE 48x150ML,PCS,101,39.95145,"4,035.10",
100567,,ABC SEEDLING BAGS 2x2x6 100s,PACK,50,18.9375,946.875,
100576,,SPRINTER BRF/SUPER PAN 1KL,PACK,20,75.47768,"1,509.55",
100577,,SUPER 7 ANTI AMAG  1KL,PACK,19,214.55357,"4,076.52",
100578,,SWALLOW MISUA WHITE 12s,PACK,1,14.41964,14.41964,
100580,,ZOY INSTANT STARCH 400s,PCS,"1,180.00",1.46429,"1,727.86",
100585,,AJINOMOTO PANDA RED PCK 100G,PACK,"3,480.00",17.2061,"59,877.23",
100586,,AJINOMOTO SHAKER 100G,BOT,169,28.39286,"4,798.39",
100587,,AJINOMOTO PANDA 1KG,PACK,144,142.85714,"20,571.43",
100588,,AJINOMOTO PANDA RED 50G,PCS,"3,155.49",9.46429,"29,864.46",
100590,,AJINOMOTO 24G/22G,PCS,31,3.7,114.7,
100592,,AJINOMOTO PANDA ORANGE 500G,PACK,280,75.89286,"21,250.00",
100596,,AJI SHIO GARLIC PLUS 18G,PCS,930,3.68304,"3,425.23",
