CENTRAL DISTRIBUTION CENTER,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF November 05, 2021",,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST 
103055,,GINEBRA SAN MIGUEL BLUE DIS/LIGHT 12x700ML,BOT,1620,85.27,"138,133.93"
103067,,GLOW DW LIQUID APPLE FRESH 24/300ML,BOT,456,24.17,"11,023.39"
103068,,STAR MARGARINE CLASSIC 144/100G,PCS,3888,24.06,"93,538.79"
103069,,STAR MARGARINE CLASSIC 72/250G,PCS,2592,54.04,"140,063.28"
103071,,MAGNOLIA CHEEZEE REGULAR 12x440G/400G,PCS,720,93.17,"67,081.16"
103093,,MERRYLAND MILK NOUGAT 24s,PACK,400,14.87,"5,946.43"
103097,,LIPOVITAN SYRUP 100ML,BOT,2400,21.88,"52,508.40"
103105,,KERATIN HAIR RECONSTRUCTOR 1M TREAT 432x20G,PCS,2160,3.35,"7,232.13"
103127,,DR KAUFMANN MEDICATED SULFUR SOAP 96/80G,PCS,2208,26.8,"59,173.69"
103139,,DENTAL B PLUS ADULT SOFT,PCS,336,38.32,"12,877.20"
103140,,DENTAL B PLUS ADULT MEDIUM,PCS,252,38.32,"9,657.90"
103141,,DENTAL B PLUS JUNIOR SOFT,PCS,192,36.75,"7,056.00"
103142,,DENTAL B PLUS ADULT HARD,PCS,288,38.32,"11,037.60"
103145,,DENTAL B SPECIAL TB WITH BRISTLE 288s,PCS,384,15.75,"6,048.01"
103146,,DENTAL B BASIC SURE S10 JUNIOR SOFT 144s,PCS,144,42.7,"6,148.81"
103147,,DENTAL B BASIC SURE S10 ADULT SOFT 144s,PCS,168,49.35,"8,290.78"
103148,,DENTAL B BASIC SURE S10 ADULT MEDIUM 144s,PCS,264,49.35,"13,028.38"
103149,,DENTAL B BASIC SURE S10 ADULT HARD 144s,PCS,216,49.35,"10,659.58"
103150,,DENTAL Bplus BIG VALUE SAVE P20 JUNIOR SOFT,PCS,96,60.73,"5,829.60"
103151,,DENTAL Bplus BIG VALUE SAVE P20 ADULT SOFT,PCS,144,63.87,"9,198.00"
103152,,DENTAL Bplus BIG VALUE SAVE P20 ADULT MEDIUM,PCS,252,63.87,"16,096.49"
103153,,DENTAL Bplus BIG VALUE SAVE P20 ADULT HARD,PCS,144,63.87,"9,198.00"
103154,,ESKINOL FC CLASSIC WHTNG GRAINS 144/75ML,PCS,2016,30.5,"61,485.94"
103155,,ESKINOL FC CLASSIC WHTNG GRAINS 72/225ML,PCS,144,67,"9,647.88"
103156,,MASTER FC OIL CONTROL CLEAR 72/225ML,PCS,360,74.73,"26,901.55"
103157,,MASTER FC OIL CONTROL CLEAR 144/70ML,PCS,2016,35.47,"71,512.66"
103158,,MASTER FC OIL CONTROL CLEAR 72/135ML,PCS,792,55.98,"44,338.77"
103159,,MASTER FC ANTI ACNE 144/70ML,PCS,2880,35.47,"102,160.94"
103160,,MASTER FC ANTI ACNE 72/135ML,PCS,504,52.08,"26,247.54"
103161,,MASTER FC ANTI ACNE 72/225ML,PCS,1728,73.99,"127,848.97"
103165,,ESKINOL FC PMPLFGHT DRMCLR C 144x75ML,PCS,1440,30.5,"43,918.57"
103166,,ESKINOL FC PMPLFGHT DRMCLR C 72x135ML,PCS,864,48.58,"41,977.16"
103167,,ESKINOL FACIAL CLEANSER DERM C 72X225ML,PCS,648,73.74,"47,783.58"
103171,,ESKINOL FC CLASSIC WHTNG GRAINS 72/135ML,PCS,576,48.58,"27,984.79"
103174,,ESKINOL FC CLASSIC WHITE 72x135ML,PCS,432,48.58,"20,988.59"
103176,,ESKINOL FC SPTLS WHT CALMNSI 72x225ML,PCS,216,73.74,"15,927.86"
103179,,ESKINOL FC SPTLS WHT CALMNSI 144x75ML,PCS,1728,30.5,"52,702.24"
103180,,ESKINOL FC SPTLS WHT CALMNSI 72x135ML,PCS,216,48.58,"10,494.30"
103194,,NISSIN BREAD STIX 60x35G,PACK,60,6.26,375.42
103212,,GOLDEN LION SUKANG PUTI 12/1L,PCS,24,23.57,565.71
103213,,GOLDEN LION SUKANG PUTI 4/1GAL,GAL,76,79.96,"6,076.61"
103218,,ABC TONGOG 240s,PCS,17760,9.65,"171,389.33"
103219,,CELL 2X10 CHAMPION,PACK,1975,5.94,"11,726.56"
103220,,CELL 1 1/2X10 CHAMPION,PACK,425,5.02,"2,134.11"
103221,,SISTERS NETSIDE NIGHT USE 36/8s,PACK,14004,17.16,"240,248.84"
103222,,SISTERS NETSIDE DAY USE 36/8s,PACK,6372,15.46,"98,492.90"
103223,,SISTERS SILKY FLOSS DAY USE WINGS 36/8s,PACK,38736,13.42,"519,792.19"
103224,,SISTERS SILKY FLOSS NIGHT WITH WINGS 36/8s,PACK,18396,14.95,"274,975.31"
103225,,SISTERS SILKY FLOSS DAY USE SINGLE 36/12s,PCS,111888,1.63,"182,132.41"
103227,,SISTERS PANTY LINER BREATHABLE 36x20s,PACK,540,16.48,"8,897.20"
103228,,SISTERS SILKY FLOSS ULTRA THIN WINGS 48/6s,PACK,1824,13.42,"24,475.93"
103250,,NELITA CORNED BEEF 48/150G,CAN,144,18.43,"2,653.57"
103266,,GOLDEN HARVEST CORNSTARCH 24/400G,BOX,264,25.01,"6,603.14"
103268,,RED BULL SUPREME 50/150ML,BOT,6050,23.74,"143,609.70"
103298,,VIVA SPECIAL BIHON WHITE 25/400G,PACK,25,20.82,520.54
103310,,NATURES SPRING MINERAL WATER 1L,BOT,42,11,462
103320,,NECO BANANA EXTRACT 72/120ML,BOT,216,9.24,"1,996.07"
103321,,NECO BANANA CONCENTRATED 4/1GAL,GAL,8,75.89,607.14
103322,,NECO BANANA EXTRACT 12/1QUART,BOT,36,47.84,"1,722.21"
103325,,NECO LEMON CONCENTRATED 4/1GAL,GAL,16,75.89,"1,214.29"
103326,,NECO ORANGE EXTRACT 144/60ML,BOT,720,6.85,"4,930.71"
103327,,NECO ORANGE EXTRACT 72/120ML,BOT,144,9.24,"1,330.71"
103328,,NECO PINEAPPLE EXTRACT 144/60ml,BOT,576,6.85,"3,944.57"
103329,,NECO PINEAPPLE EXTRACT 72/120ML,BOT,216,9.24,"1,996.07"
103330,,NECO STRAWBERRY EXTRACT 144/60ML,BOT,288,6.85,"1,972.28"
103331,,NECO STRAWBERRY EXTRACT 72/120ML,BOT,72,9.24,665.36
103335,,NECO VANILLA CONCENTRATE 4/1G,GAL,2372,85.94,"203,843.75"
103336,,NECO ANISE EXTRACT 144/60ML,BOT,864,9.53,"8,231.15"
103339,,NECO EGG YELLOW 12/500G,PCS,48,52.62,"2,525.57"
103344,,NECO UBI VIOLET 12/500G,PCS,12,99.19,"1,190.25"
103351,,MILO ACTIV GO 300G,PACK,6920,70.45,"487,532.55"
103354,,NESTLE CHUCKIE CHOCOLATE 24/250ML,PCS,7128,22.22,"158,360.85"
103356,,DR NO TB ROYALE CELL PACK,PCS,992,0.89,885.72
103362,,COFFEE MATE ORIG SUP 24x450G/500G,PACK,1968,69.5,"136,777.75"
103374,,DR NO TB JR REGULAR CELLOPHANE PACK,PCS,2510,0.89,"2,241.08"
103377,,FUNDADOR DOUBLE LIGHT 4x2/1L wf FS 500ML,BOX,84,548.63,"46,084.50"
103379,,LIBERTY CONDENSADA SWTND CRMR 48x300ML,CAN,5040,34.19,"172,312.56"
