PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100413,,53 SANICON PLATIC JAR W/YELLOW CAP,PCS,-2,12.58917,-25.17834
100414,,55 SANICON PLASTIC  JAR W/YELLOW CAP,PCS,3,12.9375,38.8125
100415,,103 SANICON PLASTIC JAR W/YELLOW CAP,PCS,-4,20.125,-80.5
100416,,SANICON R SMALL PLASTIC JAR W/WHITE CAP,PCS,2,8.55,17.1
100431,,S 14 N ADIDAS HANGER FLAT NEON COLORS,PCS,48,3.61757,173.64336
100432,,S 15 N SOLID HANGER ROUND NEON COLORS,PCS,12,4.24926,50.99112
100436,,808 A FROST CANISTER W/SCOOP LARGE,PCS,1,19.84821,19.84821
100444,,1216 CLEANWARE SINGLE SOAP DISH,PCS,6,10.33929,62.03574
100449,,BOSTON CIGARETTES 500s,PACK,88,6.4,563.2
100450,,FREEDOM CIGARETTES 50s,PACK,541,7.4,"4,003.40"
100451,,NAVY CLUB FILTER KING 500s,PACK,734,69.86607,"51,281.70"
100453,,SPARK KLEEN POWDER 240/40G,PCS,-15,2.04467,-30.67005
100454,,SPARK KLEEN POWDER 120/100G,PCS,24,4.29458,103.06992
100455,,SPARK KLEEN POWDER 24/500G,PCS,39,24.11868,940.62852
100456,,SPARK KLEEN POWDER 12/1KL,PCS,7,46.38167,324.67169
100457,,ABSOLUTE DISTILLED WATER 12X1500ML,BOT,139,21.14881,"2,939.68"
100458,,SUMMIT NATURAL SPRING WATER 24/500ML,BOT,452,7.66042,"3,462.51"
100459,,SUMMIT NATURAL SPRING WATER 12/1000ML,BOT,137,13.15789,"1,802.63"
100460,,RAM PORK AND BEANS 24/390G,CAN,50,35.88855,"1,794.43"
100462,,SEVILLA TOMATO PASTE SUP 160G,PCS,54,18.06996,975.77784
