ISLAND CITY MALL,,,,,,
POS UNPOSTED SALES,,,,,,
"As of APRIL 27, 2022",,,,,,
Item No.,Variant Code,Description,UOM,Quantity,Cost w/o VAT,Total Cost w/o VAT
100651,,ALAS CONDNSDA 300ML,CAN,-344,27.43761,-9438.53784
100652,,ALAS EVPRTD 370ML,CAN,-172,24.72686,-4253.01992
100657,,AL LOW FAT 1L,BOX,-8,45.75,-366
100660,,LIGO PS WCHILI 155G,CAN,-13,8.93037,-116.09481
100673,,LIGO SQUID NI 425G,CAN,-5,36.6696,-183.348
100678,,LIGO CNORTE 210G,CAN,-5,18.53175,-92.65875
100707,,GOLDEN Q OATS 200G,PACK,-14,16.07735,-225.0829
100708,,G OATS QUICK 400G,PACK,-18,35.85528,-645.39504
100709,,GOL OATS QCK 800G,PACK,-6,64.64063,-387.84378
100711,,GLDN OATS INST 400G,PACK,-22,37.73831,-830.24282
100712,,G OATS INST 800G,PACK,-13,69.72693,-906.45009
100713,,G OATS P CHOCO 200G,PACK,-11,19.9755,-219.7305
100714,,G OATS P O 3N6 200G,PACK,-11,22.80187,-250.82057
100715,,G OATS P O 3N6 400G,PACK,-5,40.55956,-202.7978
100723,,SIMPLY SOYA OIL 1L,BOT,-18,67.13117,-1208.36106
100724,,RED STAR YST 800G,PACK,-14,100.02692,-1400.37688
100733,,BESUTO PRWN HS 500G,PACK,-12,42.43095,-509.1714
100737,,B PC ON GRLC 500G,PACK,-25,40.96738,-1024.1845
100743,,B PRWN CRAB 500G,PACK,-15,40.25497,-603.82455
100755,,BSTO PC BACON 500G,PACK,-21,42.05668,-883.19028
100757,,BSTO PC SQUID 500G,PACK,-21,39.87266,-837.32586
100758,,LION TIGER REG MINI,BOX,-1215,9.70117,-11786.92155
100760,,LION TIGER REGULAR,BOX,-1577,9.97121,-15724.59817
100809,,STREP HNY LEMON 2s,PACK,-16,12.58036,-201.28576
100811,,DUREX CNDM LVE 3s,BOX,-2,40.58036,-81.16072
100815,,NES AP CREAM 125ML,PCS,-199,29.20536,-5811.86664
100817,,BYGN IS KB GR 250ML,BOT,-9,47.73114,-429.58026
100821,,BAYGON IS WB 500ML,BOT,-2,89.5753,-179.1506
100824,,BAYGON AER WB 300ML,PCS,-11,105.33259,-1158.65849
100825,,BYGN MIK AER WB 500ML,PCS,-38,154.03869,-5853.47022
100826,,BYGN MIK WB 600ML,PCS,-13,170.16461,-2212.13993
100828,,BYGN CK AER 300ML,PCS,-6,101.64435,-609.8661
100829,,BYGN CK AER 450/500ML,PCS,-4,151.31877,-605.27508
100830,,BYGN 24H R KILLER 6s,PCS,-3,86.44348,-259.33044
100832,,RACUMIN PASTE 100G,BOX,-16,53.08712,-849.39392
100841,,BAYGON MIK KB 500ML,PCS,-9,142.5661,-1283.0949
100842,,BAYGON MIK KB 600ML,PCS,-12,170.75504,-2049.06048
100846,,BAYGON FLY PAPER,PCS,-75,15.6322,-1172.415
100873,,TENTAY S SCE 500ML,BOT,-1,761.73839,-761.73839
100888,,CLASSIC PETALS TPICK,BOX,-60,2.37453,-142.4718
100890,,BAGUIO OIL PL 1/2GAL,½GAL,-10,127.61268,-1276.1268
100897,,FC SWTND CCOA 100G,PACK,-22,5.80861,-127.78942
100898,,FC SWTND CCOA 500G,PACK,-9,26.9653,-242.6877
100899,,C M ACID RM 250ML,BOT,-10,8.968,-89.68
100901,,C M ACID PURE 460ML,BOT,-11,14.02794,-154.30734
100902,,C M ACID PURE 960ML,BOT,-12,23.48735,-281.8482
100911,,C ALCAMPORADO 25ML,BOT,-11,5.60119,-61.61309
100913,,C ALCAMPORADO 120ML,BOT,-7,11.87557,-83.12899
100915,,C WINTERGREEN 25ML,BOT,-10,7.38203,-73.8203
100918,,C WINTERGREEN 120ML,BOT,-3,30.21765,-90.65295
100919,,C MANZANILLA 25ML,BOT,-50,5.53025,-276.5125
100927,,WHITE RABBIT,PCS,-30000,0.41384,-12415.2
100928,,KENDIMINT,PCS,-15600,0.38144,-5950.464
100935,,NIPS PORTA PACK 90G,PCS,-36,19.8111,-713.1996
100938,,GT COFFEE BP 25G,PACK,-44,14.34361,-631.11884
100939,,GT COF GRAN BP 50G,PACK,-16,27.13927,-434.22832
100940,,GT COFFEE 100G,PACK,-9,51.80771,-466.26939
100950,,CAMEL SKA PUTI 3.8L,GAL,-1,59.53842,-59.53842
100956,,ZIM CL FLRAL R 350G,PACK,-14,13.96616,-195.52624
100960,,ZIM CL FRSH R 350G,PACK,-10,12.95791,-129.5791
100962,,ZIM LIQ ZOSA 250ML,BOT,-7,27.18144,-190.27008
100963,,ZIM LIQ ZOSA 500ML,BOT,-10,39.25482,-392.5482
100964,,ZIM SC PAD SM REG 7MM,PCS,-100,5.44074,-544.074
100965,,ZIM SCRNG PAD MED 7MM,PCS,-15,9.94895,-149.23425
100977,,STAR MARG SWT 100G,PCS,-321,15.92297,-5111.27337
100978,,STAR MARG SWT 250G,PCS,-99,36.38332,-3601.94868
100984,,K SIN SAMP OR Y 40G,PACK,-76,13.32148,-1012.43248
100986,,KNR CRAB CORN 60G,PACK,-176,31.37638,-5522.24288
100989,,LC CHKN SPRD 220ML,BOT,-34,54.43427,-1850.76518
100990,,LC CHCKN SPRD 470ML,BOT,-11,114.58908,-1260.47988
100991,,LC TUNA SPRD 470ML,BOT,-7,116.61153,-816.28071
100992,,BF SAL SW MATE 220ML,PACK,-60,24.15532,-1449.3192
100993,,BF SAL SW MATE 470ML,BOT,-18,59.90289,-1078.25202
100995,,BF SAL SW MATE 3.5L,GAL,-4,250.97655,-1003.9062
101004,,LC THSND I DRS 236ML,BOT,-8,63.37874,-507.02992
101005,,LC CAESAR DRS 236ML,BOT,-11,60.84922,-669.34142
101017,,3A SP PIN PLVRN 24s,PACK,-2,53.57143,-107.14286
101020,,TAIRU C MILK 233ML,PCS,-279,28.57143,-7971.42897
101029,,KNR S SAMP GABI 22G,PCS,-287,8.50015,-2439.54305
101046,,SNOWBEAR,PCS,-17600,0.36501,-6424.176
101055,,SILKA PPYA WS 90G,PCS,-40,18.12378,-724.9512
101056,,SILKA PPYA WS 135G,PCS,-97,21.44095,-2079.77215
101058,,S GRN PPYA SOAP 90G,PCS,-35,19.39119,-678.69165
101059,,S GRN PPYA SP 135G,PCS,-52,23.88762,-1242.15624
101060,,SLKA FC PPYA 150ML,PCS,-124,21.32856,-2644.74144
101061,,SLKA FC AVCDO 75ML,PCS,-56,13.98091,-782.93096
101062,,SLKA FC AVCDO 150ML,PCS,-8,23.10301,-184.82408
101063,,SLKA FC CLEAR 75ML,PCS,-26,14.09271,-366.41046
101068,,DEF SG SH CLR 50ML,PCS,-15,8.86368,-132.9552
101080,,COL FC LEMON YEL,PCS,-960,0.5219,-501.024
101081,,COLUMBUS FC GRN,PCS,-485,0.4135,-200.5475
101082,,COL FC SBERRY RED,PCS,-455,0.413,-187.915
101083,,COL FC CHOCO BRWN,PCS,-300,0.41795,-125.385
101090,,MONAMI SB CRM 50s,PACK,-70,17.44216,-1220.9512
101096,,FLAT TOPS 10s,PACK,-52,9.07415,-471.8558
101099,,CURLY TOPS 24s,PACK,-28,21.06905,-589.9334
101100,,CURLY TOPS 10s,PACK,-90,9.17996,-826.1964
101110,,CAFE PURO ECO 50G,PACK,-67,24.8934,-1667.8578
101112,,CAFE PURO RC 50G,PCS,-42,35.86708,-1506.41736
101116,,FIB PNT CRNCH 600G,PCS,-1,77.73765,-77.73765
101117,,FIB BTR CRNCH 600G,PCS,-12,100.77151,-1209.25812
101120,,FIB CHCO CRNCHS 6s,PCS,-41,11.93506,-489.33746
101121,,FIB CHOC CHIPS 4s,PCS,-167,6.81349,-1137.85283
101122,,FIB CHOC CHIPS 600G,PCS,-16,94.65329,-1514.45264
101125,,WC 69 WHSKY 350ML,BOT,-3,25.90474,-77.71422
