ISLAND CITY MALL,,,,,,
POS UNPOSTED SALES,,,,,,
"As of APRIL 27, 2022",,,,,,
Item No.,Variant Code,Description,UOM,Quantity,Cost w/o VAT,Total Cost w/o VAT
113770,,QA Q VITA ORIG 29G,PCS,-104,7.68838,-799.59152
113788,,PALM CB & GARLIC 326G,CAN,-3,111.60708,-334.82124
113800,,SIMPLY CANOLA OIL 2L,BOT,-6,160.12353,-960.74118
113813,,LIWANAG VC PINK 2X6s,PACK,-5,27.76739,-138.83695
113816,,LIWANAG VC GRN 2X6,PACK,-7,21.6056,-151.2392
113818,,SMART DWP LEMON 200G,PCS,-531,14.82143,-7870.17933
113838,,WHISKAS D OCNFISH 1.2KG,PACK,-12,165.62986,-1987.55832
113843,,HY T UBE CONJAC J 160G,PACK,-5,15.05302,-75.2651
113847,,CHOCO DONUT 34G,PACK,-448,2.58147,-1156.49856
113851,,1000 L STOOL TRNS,PCS,-8,56.62241,-452.97928
113910,,JOLLY M PCS STEM 198G,CAN,-9,18.22303,-164.00727
113944,,EVERWING SPRAYER C.GREEN,PCS,-15,36.80333,-552.04995
113952,,SINGER AP OIL 100ML,PCS,-26,28.15898,-732.13348
113998,,VE G BURGER T VEG 375G,CAN,-1,46.91049,-46.91049
114001,,PAC WK CORN 425G,CAN,-10,18.94865,-189.4865
114031,,SN CC SKT SILI 415G,PACK,-32,56.69643,-1814.28576
114036,,107 BAMBOO TOOTHPICK,PCS,-8,11.42857,-91.42856
114048,,MM RED n GR PCH 200G,PACK,-3,124.55357,-373.66071
114064,,QUAKER FIO B HONEY 33G,PCS,-328,7.50212,-2460.69536
114071,,LH FRUIT IC SML 10s,PACK,-85,8.375,-711.875
114074,,LH FP ORNGE 200ML,PCS,-886,4.91071,-4350.88906
114075,,LH FP P/APPLE 200ML,PCS,-941,4.91071,-4620.97811
114082,,LH COLA IC SML 10s,PACK,-247,8.375,-2068.625
114088,,CS ORG BLK ICE 1.5oz,PCS,-1,133.92857,-133.92857
114131,,LIWANAG VC GRN 1X6s,PACK,-2,34.3198,-68.6396
114132,,KSTIX C CHOCO STR 25s,PACK,-73,18.20206,-1328.75038
114153,,LC SNDWICH SPRD 3.5L,PCS,-1,357.811,-357.811
114261,,LIB CHKN VSSGE 5oz/4.6oz,CAN,-8,27.67875,-221.43
114262,,SFG SOAP BIEGE 85G,PCS,-263,15.45535,-4064.75705
114266,,PRIDE BAR SPKLD 380G,BAR,-256,12.64122,-3236.15232
114282,,CMATE ORIG 80G,PCS,-34,17.4491,-593.2694
114283,,G OATS PLUS CAL FOL 400G,PACK,-7,35.67596,-249.73172
114287,,CELL 3X16 TORINO,PACK,-1944,14.35714,-27910.28016
114288,,CELL 3X16 CAMEL BRAND,PACK,-31,12.94643,-401.33933
114292,,DROSER PRO 45 WHT 10s,PACK,-1,26.26726,-26.26726
114316,,ANCHOR B SALTED 227G,PCS,-28,58.96429,-1651.00012
114317,,ANCHOR B SALTED 100G,PCS,-6,30.16877,-181.01262
114322,,PAPA CATSUP R 530G,BOT,-283,17.76021,-5026.13943
114350,,PF CB CHUNKS 210G,CAN,-12,75.17857,-902.14284
114351,,PF CB HOT SPICY 150G,CAN,-51,53.66071,-2736.69621
114360,,OLD SPICE HE SPORT 14G,PCS,-15,44.77747,-671.66205
114367,,BF MAYO MAGIC 700ML,BOT,-10,85.95025,-859.5025
114370,,2636 PLASTIC STRAINER,PCS,-2,20.53571,-41.07142
114379,,SWIRL CHOCOLATE 50s,PACK,-11,21.0724,-231.7964
114384,,BF SW SPREAD 470ML,BOT,-14,64.30747,-900.30458
114397,,FEST SUGAR SACHET 72x6G,PACK,-1,21.94229,-21.94229
114414,,MYRA M PLUS VL 200ML,PCS,-28,116.46429,-3261.00012
114450,,ZIM CLNSR FLORAL R 150G,PCS,-13,4.33224,-56.31912
114454,,ANGEL SOFT COT ROLL 10G,PCS,-101,2.72042,-274.76242
114455,,SOFTWHITE COT ROLLS 15G,PCS,-11,3.61877,-39.80647
114456,,SOFTWHITE COT ROLLS 50G,PCS,-23,11.90035,-273.70805
114458,,SOFTIPS COTTON BUDS 108TIPS,PCS,-116,7.93455,-920.4078
114463,,CELL 3X10 HK PKING,PACK,-70,7.05969,-494.1783
114465,,SWHT COTTON ROLLS 100G,PCS,-2,21.32879,-42.65758
114466,,SWHT COTTON BALLS 50s,PCS,-50,6.65256,-332.628
114468,,CELL 3X16 SAKURA,PACK,-1,0,0
114469,,C 3X16 PE HK PKING,PACK,-1,10.58928,-10.58928
114472,,SWHT COTTON BALLS 150s,PACK,-18,18.48748,-332.77464
114496,,ARIS BNNA CAKE BIG,PCS,-32,60.63503,-1940.32096
114497,,ARIS BNNA CAKE SM,PCS,-32,25.14519,-804.64608
114498,,ARIS FRTY BAN CKE,PCS,-34,50.90534,-1730.78156
114514,,SAGO COLORED BIG,250G,-48,7.2742,-349.1616
114516,,HB HD SPOON BIG 12s,PACK,-7,8.03571,-56.24997
114518,,ZS SARD OLIVE HOT 220G,BOT,-1,73.85966,-73.85966
114520,,ZARA P SARD N CO 220G,BOT,-2,51.91804,-103.83608
114525,,TULIP PORK L MEAT 340G,CAN,-47,53.12479,-2496.86513
114526,,TULIP JAMONILLA LM 340G,CAN,-134,72.01942,-9650.60228
114528,,MC B/PANDAN 20ML,PCS,-13,30.33923,-394.40999
114551,,MC PANDAN EXT 20ML,PCS,-6,21.50096,-129.00576
114575,,MAG BUTTERCUP 200G,PCS,-218,21.21875,-4625.6875
114600,,R SURE SEAL PVC CLING 30M,ROLL,-25,45.08071,-1127.01775
114601,,SAN MIG LC 330ML,CAN,-112,20.62244,-2309.71328
114616,,WHT FLWR NO 5 1.5ML,PCS,-114,20.99556,-2393.49384
114636,,DELICIOUS MARG 100G,CUP,-87,12.46875,-1084.78125
114649,,CALI BOTTLE 330ML,BOT,-53,15.88834,-842.08202
114671,,DM PINE ORANGE 202,CAN,-39,12.84519,-500.96241
114672,,DM PINE JCE W/ACE 2T,CAN,-42,21.2822,-893.8524
114771,,LM  SL HOT BEEF 50G,PCS,-1955,5.2319,-10228.3645
114780,,DEF SGEL SH GRN 50ML,BOT,-20,9.75,-195
114801,,555 MACK SALM NO 425G,CAN,-5,23.96509,-119.82545
114804,,SALTED EGGS,PCS,-173,8.1766,-1414.5518
114812,,BETADINE SKIN CLNSR 60ML,PCS,-4,87.49467,-349.97868
114816,,BETADINE SKIN CLNSR 120ML,PCS,-1,142.86935,-142.86935
114833,,SAGO COLORED SMALL,250G,-134,7.21138,-966.32492
114834,,SKINLESS PEANUT,250G,-340,15.17856,-5160.7104
114837,,MONGOES,500G,-1625,21.5,-34937.5
114838,,555 HE BIG BOX WPL,PCS,-5,166.65167,-833.25835
114844,,HE ICE CHEST RND,PCS,-16,58.03583,-928.57328
114846,,DOLE PA ORANGE 240ML,CAN,-40,12.83478,-513.3912
114856,,MAGGI SAVOR CH 130ML,PCS,-48,21.02754,-1009.32192
114858,,DM FIBER 100P P JCE 46oz,CAN,-10,43.9973,-439.973
114859,,MT AA SGA HS 325G,BOT,-72,17.0259,-1225.8648
114864,,PAMPERS BB BSC L 12s,PACK,-9,58.25549,-524.29941
114887,,ARG BEEF LOAF HS 150G,CAN,-177,11.50578,-2036.52306
114898,,PRIDE DET PDR AB 500G,PACK,-42,30,-1260
114902,,PAM BBD PANTS XL 46s,PACK,-12,472.26786,-5667.21432
114905,,O CHZ ON CHIPS CS 22G,PCS,-1978,3.29471,-6516.93638
114906,,M SITAS OGM PALABOK 57G,PCS,-25,18.22137,-455.53425
114907,,OISHI CRISPY PATATA 26G,PCS,-2215,3.2875,-7281.8125
114920,,DATU PUTI VINEGAR 1GAL,GAL,-25,73.59419,-1839.85475
114925,,P CRSPY CTNG P GARLC100G,PCS,-423,11.01906,-4661.06238
114935,,ARG LIVER SPRD 260G,CAN,-65,24.43488,-1588.2672
114940,,FARLIN FB C CLEAR 8oz,PCS,-1,63.075,-63.075
114944,,TANDUAY 5YRS BOX 1L,BOX,-50,83.34781,-4167.3905
114947,,D SANCT GLS WC BIG RED,PCS,-2,56.34625,-112.6925
114955,,D ROSER FILLER BIG WHITE,PCS,-1,35.71433,-35.71433
114976,,L 2 MP LNCH P SM 10s,PACK,-125,28.80666,-3600.8325
114993,,JBP MILK+RICE 100G,PCS,-15,18.02518,-270.3777
114994,,JBP MILK+RICE 50G,PCS,-36,11.6397,-419.0292
115008,,NES M BALLS 170G,BOX,-28,59.78479,-1673.97412
115021,,OISHI P FRIES CHSE 25G,PCS,-197,3.27654,-645.47838
115029,,ARG LIVER SPREAD 85G,CAN,-96,10.99563,-1055.58048
115040,,J CHSE GRTER FLAT,PCS,-12,26.78571,-321.42852
115060,,MARCELA HOG PELLETS,KILO,-80,13,-1040
115075,,TAG CS CHL GRLC 12/7G,PACK,-623,8.67589,-5405.07947
115076,,KOBI P FRNCH FRIED 20/10G,PACK,-225,15.635,-3517.875
115078,,SMAID TB WCAP 8157,PCS,-8,5.589,-44.712
115108,,9517 PLSTC CHR SM,PCS,-5,61.01781,-305.08905
115133,,MSB DMAT COT SQRE,PCS,-49,16.66667,-816.66683
115134,,MSB COT DM SQ THICK,PCS,-115,25.35427,-2915.74105
115135,,MSB DMAT OVAL PIPING,PCS,-26,16.85786,-438.30436
115137,,MSB DMAT OVAL WSIDING,PCS,-3,22.34527,-67.03581
115138,,MSB DOORMAT W/BAKUS COL,PCS,-20,27.94253,-558.8506
115139,,IJ BTR CKIES 300G,PACK,-50,30.19854,-1509.927
115156,,SUN MAC ELBOW 1K,PACK,-4,52.33867,-209.35468
115172,,GH CORNSTARCH 200G,BOX,-7,10.14263,-70.99841
115189,,LEM CAL GNGR C W/H 500ML,PCS,-1,133.92857,-133.92857
115220,,BIGEN HDYE B BBLACK,PCS,-6,41.78583,-250.71498
115222,,B H DYE D CNUT BROWN,PCS,-13,41.83824,-543.89712
115242,,CP M ACID PURE 250ML,BOT,-18,10.07246,-181.30428
115245,,GOLDEN TOWER SP.MISUA 20'S,PACK,-2,12.79317,-25.58634
115248,,DM SS SWEET 560G/500G,PCS,-44,36.6928,-1614.4832
115252,,G OATS P CAL FOLATE 200G,PACK,-11,18.43903,-202.82933
115273,,MICHAEL BB OIL P 50ML,PCS,-5,6.43173,-32.15865
115276,,BIGEN HDYE C DBRWN,PCS,-1,41.78567,-41.78567
115280,,555 T CALDERETA 110G,CAN,-3,10.2227,-30.6681
115286,,LM ITNOK CHKN EGG 50G,PCS,-260,6.3762,-1657.812
115290,,MORJON SHC 155G,CAN,-64,8.39462,-537.25568
115307,,FIESTA BEEF LOAF 150G,CAN,-627,11.84283,-7425.45441
115311,,FT NDC WHITE 12oz,BOT,-11,25.16675,-276.83425
115324,,FT NDC RED 12OZ,BOT,-11,25.32726,-278.59986
115326,,MICHAEL HD PINK 50ML,PCS,-6,9.47836,-56.87016
115329,,ENER MAX AAA E92 BP2,CARD,-19,64.88587,-1232.83153
115331,,ENER MAX AA E91 BP2,CARD,-18,65.55221,-1179.93978
115335,,EV SHD BIG BLK 1250BP2N,CARD,-87,37.62289,-3273.19143
115336,,HOLIDAY L PAKSIW 160G,CAN,-80,20.1122,-1608.976
115339,,SNACKU RICE C 25G,PCS,-290,3.9107,-1134.103
115345,,ZEST O ROOT BEER 1.5L,BOT,-31,23.22185,-719.87735
115353,,ZO ORANGE SQUIZ 330ML,CAN,-47,10.46355,-491.78685
115401,,FANBO 66B TAN 5,PCS,-2,44.5572,-89.1144
115402,,FANBO 66B NATURAL 2,PCS,-3,65.39429,-196.18287
115408,,SB STNLS STEEL REG 30G,PCS,-114,22.38419,-2551.79766
115425,,9538 S MESH TRAY S,PCS,-38,20.46224,-777.56512
115439,,FRES MINT BARLEY 50s,PACK,-250,17.43569,-4358.9225
115440,,LA PRIMA SPAG REG 1KG,PACK,-6,41.96408,-251.78448
115442,,DM CANE VINEGAR 1GAL,GAL,-1,62.48354,-62.48354
115458,,RC JOC AP FLOUR 400G,BOX,-4,20.24,-80.96
115460,,BASTA PINOY CURLS,PACK,-36,8.92938,-321.45768
115468,,Q INST OAT RF 200G,PACK,-137,24.94983,-3418.12671
115469,,QUKR INST OAT R 400G,PACK,-287,47.47636,-13625.71532
115470,,QKR INST OAT R 800G,PACK,-168,82.31441,-13828.82088
115471,,QUAKER QC OATS 200G,PACK,-29,23.21786,-673.31794
115472,,QUAKER QC OATS 800G,PACK,-44,73.19045,-3220.3798
115473,,JER FRAG FREE 100ML,PCS,-6,36.26559,-217.59354
115475,,JER STHNG ALOE 50ML,PCS,-4,19.65905,-78.6362
115476,,BETADINE SOL 120ML,PCS,-6,117.44036,-704.64216
115478,,BETADINE SOL 7.5ML,PCS,-73,17.52967,-1279.66591
115479,,BETADINE SOL 60ML,PCS,-23,73.72071,-1695.57633
115482,,BETADINE GARGLE 60ML,BOT,-1,56.83042,-56.83042
115494,,MAYON CS CORN 425G,CAN,-13,21.29781,-276.87153
115501,,NIPS PEANUT SB 43G,PCS,-63,7.74978,-488.23614
115528,,JER FRAG FREE 200ML,PCS,-3,62.76218,-188.28654
115529,,JER ORIG SCNT 100ML,PCS,-4,36.22255,-144.8902
115558,,SBIRD SBAG W TINY,PACK,-255,21.4286,-5464.293
115559,,EAGLE TOOTHPICK 200G,BOX,-1,12.15419,-12.15419
115574,,SB HD AB SCRUBSPGE,PCS,-3,20.85918,-62.57754
115585,,5 TOUS SPORT VBALL,PCS,-2,120.53571,-241.07142
115601,,COM BENZAL CHLRDE 120ML,BOT,-39,8.48524,-330.92436
115604,,BABYJOY SN SMALL,PCS,-2,348.89882,-697.79764
115605,,BABYJOY SN MEDIUM,PCS,-8,9.74921,-77.99368
115606,,BABYJOY SIL.NIPPLE LGE,PCS,-4,9.87451,-39.49804
115607,,FARLIN SIL.NIPPLE SMALL,PCS,-5,11.50828,-57.5414
115608,,FARLIN SIL NIPPLE MED,PCS,-5,6.14738,-30.7369
115609,,FARLIN SIL.NIPPLE LARGE,PCS,-8,12.66963,-101.35704
115627,,ART SEBUYAS PIE,PACK,-88,10.71429,-942.85752
115662,,ST T SMASHER ASTD 180ML,PCS,-169,3.78762,-640.10778
115680,,NSN CHKN MINI 40G,CUP,-99,11.51547,-1140.03153
115686,,LEYTES PEANUT BTR 230G,PCS,-6,67.72321,-406.33926
115688,,LEYTES PEANUT BTR 340G,PCS,-2,105.49107,-210.98214
115695,,902 SNY SOAP TRAY,PCS,-13,6.85373,-89.09849
115698,,QUAKER QC OAT 400G,PACK,-40,44.76313,-1790.5252
115701,,MICHAEL GEL ASSTD 16G,PCS,-1440,1.33647,-1924.5168
115703,,COLUMBUS FC EGG YEL,PCS,-535,0.4161,-222.6135
115714,,CLEENE SILKY SOFT BT 2P,ROLL,-20,10.73619,-214.7238
115720,,ANCHOR C SINGLE 200G,PACK,-30,102.1376,-3064.128
115855,,IPI OIL OF WINTRGRN 25ML,BOT,-25,11.68182,-292.0455
115857,,WHT FLWR CLSC No4,PCS,-96,30.32237,-2910.94752
115858,,IPI H PERXDE V10 50ML,BOT,-3,3.17039,-9.51117
115859,,IPI H PEROXIDE V10 120ML,BOT,-4,8.12336,-32.49344
115860,,VICKS VAPORUB 10G,PCS,-72,20.59566,-1482.88752
115867,,CTP TAS OM 95ML,PCS,-30,34.50638,-1035.1914
115872,,B DIAMOND PRM MNUTS 30G,PCS,-2,42.66083,-85.32166
115947,,HOMI IM CHCKN GARL 40G,CUP,-7,10.16488,-71.15416
115950,,CERES ACETONE 30ML,BOT,-119,5.86215,-697.59585
115964,,PB CONT MED WCOVER,PCS,-47,4.3213,-203.1011
115998,,LEYTES PEANUT BTR 250G,PCS,-2,68.57143,-137.14286
116012,,HF TFRT CKTL 3KG,GAL,-171,81.39721,-13918.92291
116024,,MOD CS MAXI NW 1s,PCS,-192,2.17586,-417.76512
116027,,NISSIN CUP CHICKEN 60G,CUP,-29,16.31939,-473.26231
116028,,BAYGON AD MK 500ML,BOT,-7,148.51552,-1039.60864
116029,,BAYGON MK MICRO 600ML,BOT,-5,175.37741,-876.88705
116035,,GLADE AFF ORGE SQZ 320ML,BOT,-3,92.88947,-278.66841
116037,,PLEDGE LEMON 330ML,BOT,-1,131.53733,-131.53733
116050,,OFF KIDS LOT 100ML,BOT,-23,70.25136,-1615.78128
116051,,IUL TG YLO BABE 2.5oz,PCS,-2,133.03571,-266.07142
116060,,MAGGI SAVOR CAL 130ML,BOT,-25,21.18453,-529.61325
116066,,ZIPLOC SBAG GAL 20s,BOX,-6,86.69188,-520.15128
116079,,MC P MUSTARD 200G,BOT,-47,37.42129,-1758.80063
116091,,R 8854 STORAGE BOX,PCS,-1,96.42857,-96.42857
116113,,SAMPAGUITA BT 700s,ROLL,-144,11.19811,-1612.52784
116119,,FT KAONG RED 12oz,BOT,-6,135.64747,-813.88482
116137,,B12 RW COL LID N CONT,PCS,-47,3.88051,-182.38397
116167,,DE SLCD BLK OLIVES 140G,BOT,-1,37.2475,-37.2475
116173,,DE PTD GRN OLVS 310G,BOT,-6,68.00652,-408.03912
116178,,HEINZ APPLE C VIN 16oz,BOT,-8,68.54867,-548.38936
116189,,PFANNER ORANGE JCE 1L,BOX,-2,59.26625,-118.5325
116190,,PF GREEN APPLE JCE 1L,BOX,-2,60.45,-120.9
116192,,FIN HS 2COL WCOCOA 400G,CUP,-4,52.2325,-208.93
116193,,FIN HS 2COL WCOCOA 200G,CUP,-4,35.30333,-141.21332
116194,,FIN HS SPRD WCOCOA 400G,CUP,-6,52.2325,-313.395
116195,,FINETTI HS  WCOCOA 200G,CUP,-3,35.30333,-105.90999
116202,,J ASPARAGUS SPEAR 430G,CAN,-5,41.6385,-208.1925
116208,,SPAM LMEAT LITE 12oz,CAN,-48,81.93116,-3932.69568
116229,,QC INST PPALABOK 65G,PCS,-1,1.90998,-1.90998
116255,,NIV INT MILK LOT 400ML,PCS,-4,184.61931,-738.47724
116264,,NB INT MILK LOT 125ML,BOT,-11,73.02062,-803.22682
116265,,NIV INT MILK LOT 250ML,BOT,-12,115.43029,-1385.16348
116297,,GELOCA JELLY ASSTD 14G,TIE,-138,5.12223,-706.86774
116309,,KANEBO PLSTC BALLOON,BOX,-280,18.57234,-5200.2552
116324,,F TUNA ADOBO 175G,CAN,-990,14.66109,-14514.4791
116325,,LKK C SIU SCE 240G,BOT,-1,62.98344,-62.98344
116326,,LKK CGRLC SCE 226G,BOT,-5,67.81211,-339.06055
116329,,NS DIS WTR 6.6L,GAL,-64,40.57413,-2596.74432
116330,,TAY SENG HOPIA DICE UBE SM,PACK,-24,9.08875,-218.13
116331,,TAY HOPIA D BIG MONGO 150G,PACK,-41,14.48851,-594.02891
116333,,TAY SENG HOPIA MONGO 150G,PACK,-48,14.58172,-699.92256
116334,,TAY SENG HOPIA UBE 150G,PACK,-2,14.90467,-29.80934
116336,,TAY S CAYCAY SESAME 100G,PACK,-7,18.06512,-126.45584
116337,,T SENG PIL ROLL 150G,PACK,-13,17.96114,-233.49482
116338,,TAY SENG TIKOY MONGO 180G,PACK,-2,16.3056,-32.6112
116339,,TAY SENG TIKOY S/BERRY 160G,PACK,-2,16.39217,-32.78434
116361,,SB DC MP SPONGE TRIAL,PCS,-69,7.53473,-519.89637
116374,,WHITE RABBIT CANDY,PCS,-4620,0.37556,-1735.0872
116382,,S SWAN PATIS R FLVR 350ML,BOT,-48,7.79555,-374.1864
116394,,ORCHID DEO SBERRY R 50G,PCS,-26,11.61595,-302.0147
116395,,OR DEO BLUEBERRY R 50G,PCS,-3,8.13699,-24.41097
116463,,CELL 5X9  01 EXCELL,PACK,-22,13.26814,-291.89908
116464,,BACTIDOL 60ML,BOT,-22,64.04567,-1409.00474
116476,,STYLEX HR POLISH S 50ML,BOT,-40,13.56936,-542.7744
116511,,GT CREAM ALL 5G,PCS,-1023,1.24868,-1277.39964
116513,,P ORGE AD DPR L 8s,PACK,-1,149.6875,-149.6875
116521,,JOY DWL LEMN 40ML,PCS,-112,7.79819,-873.39728
116529,,PEPSI REG 1.5L/1.75L,BOT,-492,25.04908,-12324.14736
116540,,CELL 1 1/2X10 TORINO,PACK,-147,5.42857,-797.99979
116587,,MAND 4OZ BOT W/C,PCS,-8,3.22884,-25.83072
116604,,C ACETONE PURE 60ML,BOT,-73,7.72325,-563.79725
116605,,C ACETONE PURE 120ML,BOT,-85,11.85,-1007.25
116606,,C ACETONE PURE 15ML,BOT,-336,3.32306,-1116.54816
116612,,VC CUTICLE RMVR 60ML,BOT,-1,2.15565,-2.15565
116613,,C MANTICA D CACAO 1/4oz,PCS,-12,3.01962,-36.23544
116615,,C SEBO D MACHO 1/4oz,PCS,-21,2.40907,-50.59047
116618,,PAM BBD PANTS L 58s,PACK,-15,472.26786,-7084.0179
116619,,WHSPR CC XL W 10s,PACK,-5,78.95536,-394.7768
116630,,COL TP GRF 214G,PCS,-52,56.02941,-2913.52932
116632,,MS MS MEN MIX 30G,PACK,-100,16.22287,-1622.287
116634,,CELL 1 1/2X10 CAMEL,PACK,-10,9.2451,-92.451
116669,,SAN ING CREAM TUBE 10G,PCS,-6,13.78669,-82.72014
116680,,GEN SP SKM GR 32oz,PCS,-1,91.96429,-91.96429
116681,,GEN SP SKM WHT 32oz,PCS,-1,91.96429,-91.96429
116696,,JER SKIN LIGHT 100ML,BOT,-10,78.31591,-783.1591
116698,,KLNX FT MINI EXPRE 20sht,PCS,-78,4.23442,-330.28476
116725,,CELL 2X10 CAMEL,PACK,-16,5.35458,-85.67328
116733,,FC SWTD COCOA 150G,PACK,-37,8.4553,-312.8461
116736,,ROGERS SALAD DRSNG 3.5L,GAL,-1,168.29,-168.29
116737,,ROGERS SW SPRD R3.5L,GAL,-4,219.19733,-876.78932
116740,,ORCHID DEO LEM WH 100G,PCS,-5,22.84767,-114.23835
116747,,PED 5 KINDS OF MEAT 400G,CAN,-5,"6,241.93",-31209.66455
116752,,PED CHKN CHUNK 130G,PCS,-47,22.35923,-1050.88381
116789,,SB PB CREAMY 16oz,JAR,-2,97.30351,-194.60702
116801,,2081 3 TAMBOURIN,PCS,-1,19.64286,-19.64286
116802,,ALASKA EVAPTD 154ML,CAN,-39,13.92686,-543.14754
116810,,CMB030 PPOT BLK,PCS,-9,19.85458,-178.69122
116834,,Q PANDA CBUDS 200T CAN,CANN,-1,16.27659,-16.27659
116836,,CMB 120 PPOT BLK,PCS,-390,1.35786,-529.5654
116838,,CMB 150 PPOT BLK,PCS,-254,2.41166,-612.56164
116839,,CMB 180 P POT BLK,PCS,-123,4.13617,-508.74891
116840,,GLOW AF SMPLR 5M,ROLL,-39,20.47213,-798.41307
116862,,COMF TB PRO 105,PCS,-3,18.44615,-55.33845
116863,,CMFRT TB PRO 956,PCS,-7,18.2869,-128.0083
116865,,FUZE CMFRT TB PRO 944,PCS,-16,17.1755,-274.808
116866,,FUZE CMFRT TB PRO 238,PCS,-2,21.06614,-42.13228
116871,,PURO TB ACT STYLE 982,PCS,-1,14,-14
116882,,STYLEX HR POLISH S 100ML,PCS,-29,22.63379,-656.37991
116908,,SEN  DRY PEAS 155G,CAN,-219,5.96581,-1306.51239
116932,,J CT BATH 100ML,PCS,-8,76.875,-615
116944,,BAYGON MC SCNTD 12s,BOX,-719,13.8125,-9931.1875
116945,,TE NDC RED 8oz,BOT,-4,18.09572,-72.38288
117040,,DENTAL B BASIC AD TB SOFT,PCS,-2,17.88956,-35.77912
117041,,DENTAL B BASIC AD TB MED,PCS,-72,19.6575,-1415.34
117042,,DENTAL B BASIC AD HARD,PCS,-32,17.85256,-571.28192
117056,,PIATTOS NACHO PIZZA 85G,PCS,-102,17.91175,-1826.9985
117057,,PIATTOS N PIZZA 40G,PCS,-617,7.06823,-4361.09791
117059,,BEAR BRAND 1p JR 420G,BOX,-9,131.16964,-1180.52676
117067,,SB TOUGH CLEANING MOP,PCS,-5,157.20185,-786.00925
117071,,3A SP UBE PLVRN OB 12s,PACK,-3,13.606,-40.818
117072,,3A SP UBE POLV ST SM 18s,PACK,-10,26.85217,-268.5217
117076,,3A SP B POLVRN STY 33s,PACK,-3,53.65235,-160.95705
117081,,NES GOLD JAR 100G,JAR,-7,281.40366,-1969.82562
117082,,NES GOLD JAR 200G,JAR,-6,359.29275,-2155.7565
117097,,OISHI P CRCKRS 26G,PCS,-2751,3.27815,-9018.19065
117105,,LACTACYD LIQ BLUE 60ML,PCS,-51,46.51879,-2372.45829
117123,,SANICARE BT 3P 4r/600s,PACK,-14,47.28622,-662.00708
117124,,SANICARE BT 3P 9r/600s,PACK,-6,104.50598,-627.03588
117125,,SAN BT 2P 4r/400s,PACK,-20,565.89539,-11317.9078
117126,,SANICARE BT 2P 12r/400s,PACK,-12,104.04761,-1248.57132
117127,,SANICARE BT 2P 9r/400s,PACK,-8,82.59886,-660.79088
117128,,SANICARE KT J 2P 1r,ROLL,-28,37.39925,-1047.179
117129,,SANICARE KT J 2P 2r,PACK,-14,80.81093,-1131.35302
117130,,SANICARE R INTER FLD T 175s,PACK,-21,46.30486,-972.40206
117131,,JADE TN PC FOLDED 1000s,PACK,-9,42.36569,-381.29121
117132,,JADE BT 2P 320sht 4r,PACK,-11,115.65864,-1272.24504
117134,,JADE BT 2P 320sht 12r,PACK,-12,84.34076,-1012.08912
117135,,JADE TN FOLDED 350s,PACK,-22,72.73343,-1600.13546
117136,,JADE WHT IT 175PULLS,PACK,-51,35.58277,-1814.72127
117139,,JADE MP TISSUE 2P HP 40p,PCS,-94,4.18485,-393.3759
117140,,JADE TN FOLDED 40s,PACK,-51,10.17098,-518.71998
117141,,JADE TN COCKTAIL FLD 40s,PCS,-83,8.67673,-720.16859
117143,,TISYU BT 2P 400sht 1r,ROLL,-67,7.61751,-510.37317
117146,,TISYU BT 2P 400sht 12r,PACK,-12,92.79427,-1113.53124
117147,,TISYU KT ALL 150sht 1r,ROLL,-58,26.98758,-1565.27964
117148,,TISYU BT CORELESS 2P 20s,PACK,-4,67.02906,-268.11624
117149,,TISYU BT CORELESS 2P 10s,PACK,-19,33.4303,-635.1757
117150,,TISYU BT CLESS 2P 2/30G,PACK,-79,7.05773,-557.56067
117153,,CHEERS TN FLAT 100s,PACK,-18,21.31173,-383.61114
117154,,TISYU FT ART DECO 70p,BOX,-10,15.73227,-157.3227
117211,,SUPER C S CHEESE 12/7G,PACK,-1116,8.67118,-9677.03688
117233,,AMIGO FLOUR 25KLS,SACK,-73,571.4285,-41714.2805
117261,,HAPEE TP FCW STP 2/90ML,PCS,-11,83.92857,-923.21427
117263,,P BAT EHD AA R6NPT/2B,CARD,-20,24.25986,-485.1972
117277,,JBB CT 200ML wf JBL,PACK,-3,150,-450
117282,,JBP BLO 500G wf 100G,PACK,-1,155.26786,-155.26786
117298,,392 C MINI FK SNGL,PCS,-15,4.54526,-68.1789
117312,,301 NL MIXING BOWL SML,PCS,-9,10.91,-98.19
117326,,772 CASA LUNCH BOX,PCS,-1,11.17182,-11.17182
117338,,386 C FRUIT BSKT,PCS,-4,18.41167,-73.64668
117371,,02 HAPPY STRNR 9cm,PCS,-16,9.09,-145.44
117385,,TS HOPIA D MONGO 100G,PACK,-24,9.09414,-218.25936
117398,,MP D CUP 12OZ T 50s,PACK,-80,36.73224,-2938.5792
117412,,ZEST O FZODA POM 330ML,CAN,-57,12.42865,-708.43305
117415,,RAM S PICKLE RELISH 270G,BOT,-8,42.88511,-343.08088
117435,,M LOVE COTTON 40G,PACK,-19,9.60699,-182.53281
117437,,BETADINE GARGLE 240ML,BOT,-1,157.27276,-157.27276
117443,,R1600 RW COL LID C CONT,PCS,-21,6.865,-144.165
117445,,UFC SPAGHETTI SCE 250G,PACK,-2,9.8225,-19.645
117446,,TF SLCE MMALLOWS 9G,PCS,-824,1.64161,-1352.68664
117447,,MELLO P MMALLOW 9G,PCS,-264,1.66314,-439.06896
