ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF APRIL 27, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
127288,,R 750 RW CLR LID N CONT,4,7.17527,28.7
127319,,MSB RND POT HLDR BIG,87,5.25756,457.41
127329,,FOF SALABAT 50G,9,3.88944,35
127333,,PETALS SPAG BOX SB 10s,108,10.7143,"1,157.14"
127334,,PETALS LPCK LB 2D 5s,147,8.259,"1,214.07"
127335,,PETALS P SPOON W BIG 12s,21,8.0357,168.75
127336,,PETALS P FORK W BIG 12s,25,7.5181,187.95
127341,,GLOW FRUIT TRAY A 10s,5,11.87059,59.35
127343,,GLOW LPACK LB 1D 5s,14,13.83915,193.75
127345,,273 FH DBL SOAP TRAY,5,11.14474,55.72
127356,,IRISH S ICY BLAST 3.7oz,31,31.39369,973.2
127358,,CHEERS TN FOLDED 350s,11,82.16708,903.84
127374,,CEL HYDR WASH 100ML,5,78.53194,392.66
127377,,DENTAL B XCTE AD MED,3,55.39335,166.18
127402,,S COR CHOCO 110ML,103,14.06743,"1,448.95"
127404,,SANICARE BT 2P 1R 400sht,84,9.09577,764.04
127406,,SILVR SWAN SS SUP 340ML,"1,938",10.95536,"21,231.49"
127407,,SLVR SWAN SS SUP 1L,980,31.41071,"30,782.50"
127409,,SS SUKA PUTI SUP 350ML,"1,121",9.88393,"11,079.89"
127410,,LC PB CRMY IMP 340G,8,80.61945,644.96
127416,,LL LIGHTER LW 01 WINNER,1,7.16625,7.17
127417,,DENTAL B XCTE AD HARD,2,56.11626,112.23
127434,,SR THIN SPAG 500G,2,49.36027,98.72
127437,,TW PURE PPRMNT TEA 2G,53,5.98512,317.21
127438,,TW JASMINE GRN TEA 1.8G,105,4.96,520.8
127440,,TW APPLE CIN RSN FTEA 2G,41,5.45454,223.64
127482,,X6022 A BAM THPICK,53,8.92857,473.21
127492,,6039 B BAMB TPICK,4,8.92857,35.71
127509,,EDWIN VC WGLS BLUE L,1,44.64828,44.65
127519,,C BITS FLKS CHSE 12/10G,48,8.96875,430.5
127525,,EDWIN VC WGLS WHT LGE,28,44.68719,"1,251.24"
127533,,LACTO VITALE GOLD 500ML,2,116.29529,232.59
127549,,SS SWT CHILI SCE 180G,33,13.42794,443.12
127577,,S SAL W/ORGNO 7.5G,33,10.71429,353.57
127579,,MS OS W/SPT 405G,189,59.73214,"11,289.37"
127580,,0394 TOOTHPICK,66,7.58929,500.89
127585,,LKK PRM DRK SS 500ML,1,72.24107,72.24
127619,,MT50 12in MET BALN,200,1.78571,357.14
127680,,BB MALLORCA 70P 320ML,45,6.86177,308.78
127687,,CR RND PP WHT 9 25s,28,16.06587,449.84
127692,,CR RND PP WHT 9 50s,20,33.9285,678.57
127694,,CR RND PP LAM 9 25s,271,23.88388,"6,472.53"
127695,,CR RND PP SLVR 7.5 20s,2,17.9468,35.89
127700,,CR RND STYRO PLATE 9 10s,16,11.8304,189.29
127705,,CR SPOON TRAN BIG 12s,418,7.59084,"3,172.97"
127731,,238 3 S STRAINER BOWL,1,8.48475,8.48
127750,,TISYU 2P INF H TWL 150s,13,39.68073,515.85
127762,,GM PEANUT ROLL,37,9.09085,336.36
127764,,DE OLIVE OIL PURE 250ML,25,80.87626,"2,021.91"
127765,,DE OLIVE OIL PURE 500ML,15,154.72585,"2,320.89"
127766,,DE EV OLIVE OIL 250ML,10,85.92096,859.21
127767,,DE EV OLIVE OIL 500ML,2,155.67383,311.35
127784,,REGENT CHSE BALL 25G,355,3.93055,"1,395.35"
127786,,BINGO CORND BEEF 100G,140,8.62147,"1,207.01"
127821,,HOU ECO BAG LARGE,"10,469",4.64286,"48,606.10"
127825,,KM ALUM FOIL 300MX30CM,8,930.0025,"7,440.02"
127832,,GLAD BAKE PPR 30CMX5M,2,49.14241,98.28
127834,,GLAD GARBAGE BAG L 10s,2,38.4577,76.92
127835,,GLAD GARBAGE BAG XL 10s,2,58.02746,116.05
127913,,GOLDEN SHRIMP CRCKR 200G,1,24.9045,24.9
127915,,GOLDEN FISH CRCKR 200G,4,24.857,99.43
127916,,G FISH C SALT VINEGAR 100G,1,14.41605,14.42
127918,,G FISH CRKR HS 100G,2,14.3945,28.79
127919,,GOLDEN YUMMY FLAKES 100G,1,17.50454,17.5
127947,,GOLDEN FISH CRKR 100G,1,13.88648,13.89
127952,,G SPL GALLETAS FLRS 110G,6,23.14662,138.88
127961,,RAM T SAUCE 115G,76,9.55856,726.45
127974,,MSTR FS W PPYA 50G,3,39.38916,118.17
127976,,PEN MP DS BLUE 300ML,2,115.17857,230.36
128132,,KM RYL FOIL SAM 3MX30CM,46,11.0087,506.4
128141,,JER ULTRAS HLING 500ML,5,114.31784,571.59
128147,,JBB COLOGNE SLIDE 25ML,25,12.16024,304.01
128149,,JBB COL SLIDE 125ML,7,41.2273,288.59
128160,,OE WORC SCE R150ML,13,9.09,118.17
128202,,LKK C CHOW CHILI OIL 7.2oz,5,102.9725,514.86
128204,,JIF PB EX CRNCHY 18oz/16oz,1,124.25169,124.25
128212,,K WAFER STK CHO CRM 20G,420,2.66593,"1,119.69"
128213,,CDO BEEF LOAF 210G,71,15.47351,"1,098.62"
128215,,JER STHNG ALOE 500ML,4,114.546,458.18
128291,,VEXX DS AUTM F 300G,1,168.64286,168.64
128292,,MAYON GARBANZOS 425G,3,17.75803,53.27
128294,,TF BANANA CATSUP 1/2GAL,228,20.12118,"4,587.63"
128295,,KLEENEX FT EXP 2P 100P,15,35.73678,536.05
128296,,VEXX DS AUTM F 400G,1,211.30357,211.3
128382,,GC ETHYL AL MOIST 70P 250ML,46,23.72095,"1,091.16"
128383,,GC ETHYL AL MOIST 70P 500ML,24,40.64918,975.58
128395,,LIBERTY COND 168ML,16,10.66248,170.6
128396,,CHOBIZ CHOC CTD BIS 20s,2,"1,009.49","2,018.98"
128427,,CELL 4X7 02 EXCELLENT,17,16.94641,288.09
128431,,CELL 3X4  02 EXCELLENT,52,7.52382,391.24
128432,,CELL 8X14 01 EXCEL,9,31.54745,283.93
128435,,GAB HCS B GUM 12ML,2,107.14286,214.29
128444,,KLN IT LHS LAV 500ML,2,42.63393,85.27
128445,,KLN IT 70P EA W/M TS 500ML,2,106.91964,213.84
128454,,IJ PEANUT CRKR PCK 135G,1,21.78374,21.78
128475,,GOLDEN FISH CRKR HS 200G,1,24.78741,24.79
128504,,FEST REFINED SUGAR 1KL,48,27.33529,"1,312.09"
128522,,OK LAKI PINEAPPLE 250ML,38,3.19599,121.45
128524,,OK LAKI APPLE 250ML,211,2.05148,432.86
128526,,C SALYCYLIC ACID 15ML,1,3.02007,3.02
128530,,PAG BROAS 300G,104,72.73,"7,563.92"
128558,,RAM T SAUCE SUP 250G,99,12.53784,"1,241.25"
128564,,P 8 ROUND CONT W/LID,235,2.35678,553.84
128570,,11162 LUNCH BOX,1,12.94625,12.95
128572,,GLIDE IA P PURE 240ML,3,20.6541,61.96
128590,,VERNEL AB BL SKY 35ML,21,3.15935,66.35
128591,,UP CHRCOAL TP 120G,3,148.4375,445.31
128604,,BF PEANUT SPREAD 340G,21,72.02434,"1,512.51"
128612,,JERGENS AB LOT 500ML,1,116.30666,116.31
128718,,GAB HCS G FLRL 12ML,2,107.14286,214.29
128782,,JERSEY CM RTD 110ML,134,9.07143,"1,215.57"
128811,,MILCU DEO RON UNCS 50ML,14,44.40489,621.67
128847,,GAB HCS EUCAL 12ML,1,107.14286,107.14
128849,,CHUBBY SOFT CHOCO 20s,292,14.55444,"4,249.90"
128851,,HANSEL BUTTER SW 10s,168,27.39129,"4,601.74"
128859,,L TIGER AERO 350G/515ML,9,149.41804,"1,344.76"
128860,,L TIGER AERO 175G/310ML,14,79.68825,"1,115.64"
128861,,K STIX C CHO ORGE REF 25s,63,18.19646,"1,146.38"
128867,,FA DC SWAN LEMON 80G,11,24.36094,267.97
128868,,FA DC SWAN ORANGE 80G,7,24.3975,170.78
128869,,FA DC SWAN APPLE 80G,4,24.36872,97.47
128870,,FA DC SWAN FLORAL 80G,3,24.37275,73.12
128871,,FA FC SWAN FRUIITY 80G,7,24.37207,170.6
128872,,FA DC REF LEMON 80G,11,19.21201,211.33
128873,,FA FC REF ORANGE 80G,14,18.08545,253.2
128877,,88 MM BTLE NIPPLE BRSH,2,24.06706,48.13
128891,,949 DP LNCH BOX GRN BIG,4,31.88045,127.52
128895,,948 DP LUNCH BOX GRN SML,4,21.64128,86.57
128904,,861 DP P BOWL S AGRN,7,7.856,54.99
128921,,CHARMEE ATF WNG 8s,328,13.66029,"4,480.58"
128929,,NURSY BB WIPES UNS 90s,57,84.93933,"4,841.54"
128932,,INTENSE COL 4MEN CONF 150ML,1,65.22851,65.23
128964,,CHAMP DWL LEMN 1L,6,101.79464,610.77
129069,,AP SP WHT PNT SLTD 200G,2,20,40
129138,,OK LAKI ORANGE JCE 250ML,987,3.15793,"3,116.88"
129185,,GATORADE B BOLT 500ML,434,22.58122,"9,800.25"
129186,,GATO TROP FRT 500ML,257,22.59099,"5,805.88"
129238,,SUMMIT SPRING WTR 2L,12,18.39513,220.74
129239,,ABSOLUT DIST W 2L,11,21.41194,235.53
129257,,CARESS AD BASIC L 10s,49,150.33055,"7,366.20"
129267,,MSTR FS W PPYA 100G,4,69.82738,279.31
129292,,TISYU BT 2P 400sh 24r,1,178.63121,178.63
129305,,MY S CF LEMON 60G,1,21.04751,21.05
129324,,KENDIMINT 50s,53,22.52002,"1,193.56"
129327,,LT P TWINE COL 1KL,14,88.00133,"1,232.02"
129334,,MED PPR TAPE 1X5,9,46.39333,417.54
129335,,MED CHECKER STIPS 10s,8,9.94906,79.59
129336,,MED CHECKER STRIPS 50s,7,39.18964,274.33
129338,,CERES 70P EA 960ML,5,107.14286,535.71
129342,,BBFLO WIDE NECK SN 2s,3,43.94407,131.83
129343,,MY S CF LIME 60G,4,18.51123,74.04
129358,,DOVE CBAR G EXF 100G,74,38.44843,"2,845.18"
129450,,JER FRAG FREE 500ML,1,115.62035,115.62
129456,,GATO ORGE CHILL 500ML,172,22.56718,"3,881.55"
129484,,DOVE C BAR PINK 100G,116,34.78515,"4,035.08"
129485,,DOVE CBAR PINK 135G,1,42.65891,42.66
129506,,WINGS HANGER GRN 4s,1,27.39224,27.39
129519,,EX20G CLIP GRN 20s,11,13.34506,146.8
129521,,EX20B CLIP BLUE 20s,5,210.65361,"1,053.27"
129522,,EX20W CLIP WHT 20s,12,13.31382,159.77
129523,,AC024P CLIP PK 24s,9,244.77526,"2,202.98"
129525,,AC024Y CLIP YEL 24s,15,17.4959,262.44
129526,,AC024B CLIP BLUE 24s,4,17.42905,69.72
129551,,PA14G A SQ HNGER,8,74.11492,592.92
129555,,EL HOMBRE TEQ GOLD 700ML,12,184.04426,"2,208.53"
129568,,YUM YUM MINI BITES 30G,346,7.27922,"2,518.61"
129569,,55 FLAG PICKS 100s,5,29.21149,146.06
129661,,ZB ORIG 2/250ML S3,46,20.08036,923.7
129666,,EXTRA EP AP TISSUE 40P,33,4.24501,140.09
129674,,EXTRA F TISSUE 2P 280s,16,25.16039,402.57
129675,,K PRK C+PSTA 3+1/60G,1,74.0625,74.06
129678,,EXTRA FOLDED TN 50s,101,8.81721,890.54
129682,,EXTRA BT P 400sht 2P 1r,40,8.0796,323.18
129683,,EXTRA BT P 400sht 2P 4r,20,31.61,632.2
129688,,HELLO BT 440sht 2P 4r,49,25.31638,"1,240.50"
129689,,HELLO BT 400sht 2P 1r,163,6.37189,"1,038.62"
129690,,HELLO BT 400sht 2P 12R,13,73.93837,961.2
129692,,HELLO PRE CUT TN 1/2KL,11,36.98396,406.82
129693,,EXTRA PRM PT 2P 2R 9inc,10,59.09528,590.95
129699,,BABY FIT WET WIPES 30s,5,27.97399,139.87
129716,,C ROYAL LB 1D 5s,114,13.09523,"1,492.86"
129731,,JOLLY SOYA OIL 100P 2L,1,141.58015,141.58
129737,,AL CONDENSADA 168ML,57,17.76444,"1,012.57"
129738,,ALASKA EVPRDA 140ML,585,7.95555,"4,654.00"
129762,,AL Y SWT MLK 236ML,18,11.80648,212.52
129781,,CELL 4X7 01 EXCELLENT,2,8.17988,16.36
129782,,ROGERS SW SPRD REG 225ML,38,24.73061,939.76
129798,,CM CHOCO COATED 20s,22,11.96918,263.32
129810,,STICKMAN WS SBERRY 60s,7,96.74053,677.18
129865,,SOFTIPS CPT BUDS 400T,51,17.27,880.77
129872,,NIS SOT CHKN 30G,83,13.1926,"1,094.99"
129874,,MSB BRMS WH BAGA,4,18.18192,72.73
129913,,CHARMEE PLINERS UNS 8s,49,5.76707,282.59
129915,,CDO KAONG WHITE 240G,3,21.1075,63.32
129939,,OISHI CHEESE CLUBS 23G,232,60.465,"14,027.88"
129948,,OISHI PILLOW CHOCO 38G,380,4.2574,"1,617.81"
129963,,CO SPAG S ITALIAN 1KG,1,53.11642,53.12
129965,,CO SPAG SCE SWEET 1KG,10,60.88769,608.88
129992,,GL FACIAL WIPES GRN 25s,11,33.54087,368.95
130012,,CR GARB BAGE L BLK 10s,50,22.7164,"1,135.82"
130014,,CR GARB BAG XXL BLK 10s,2,41.74174,83.48
130061,,SAGO WHITE SMALL,164,6.82386,"1,119.11"
130128,,AF F28 BLK CODE 30ML,8,129.46429,"1,035.71"
130182,,AF F10 ENERGIZE 30ML,1,129.46429,129.46
130183,,AF F16 CLINIQ HPY 30ML,3,129.46429,388.39
130197,,CDO NDC WHITE 240G,21,15.32457,321.82
130215,,CAD DAIRY MILK ML 15G,71,7.49298,532
130238,,GL FACIAL WIPES BLUE 25s,27,33.56766,906.33
130239,,BB LOVE WIPES ORGE 25s,76,33.51784,"2,547.36"
130245,,AF F3 TOMMY BOY 30ML,4,129.46429,517.86
130259,,LUNGA WHITE,7,21.82391,152.77
130260,,RINBEE CHSE STK 85G,19,12.71429,241.57
130318,,MONA CANOLA OIL 2L,2,157.25197,314.5
130334,,CELL 2X5 02 EXCELLENT,16,6.90907,110.55
130351,,VER FC AB W ROSE 35ML,21,3.39668,71.33
130355,,CTP CHRCL CLN 20G,221,7.95536,"1,758.13"
130366,,DOWNY SF RF 2.3L,1,334.11607,334.12
130402,,MM INST FMP 350G,4,78.125,312.5
130403,,MM INST LF MP 350G,3,105,315
130405,,HW97 DPAN BC CA,8,79.91071,639.29
130409,,UNI AL 70P EA 150ML,6,22.32143,133.93
130410,,EOC OR MANGO 20G,115,6.20516,713.59
130412,,LOVE W LOT G PPYA 125ML,4,25.99041,103.96
130417,,OISHI CORN OLE 25G,237,3.32163,787.23
130419,,MSB POT HLDR RUFFLES,435,1.78271,775.48
130440,,MP EXF A ACNE 3 15ML,23,17.76098,408.5
130441,,MP EXF A ACNE 2 15ML,10,15.54798,155.48
130442,,TEMPLE S YEL BEANS 180G,2,8.67849,17.36
130447,,G H SMK BBQ ALM 80G,3,55.36822,166.1
130448,,G ONION GARLIC ALM 80G,1,55.46535,55.47
130462,,SAN L NAPKIN 2P 40pulls,21,36.34535,763.25
130465,,MAR FRSH EGGS JUMBO,726,5.5,"3,993.00"
130469,,ZEST O ORGE FD JR 150ML,"3,968",711.41173,"2,822,881.74"
130470,,GL VERMICELLI SOT 908g 32oz,19,52.0729,989.39
130473,,AF F60 J LO LIVE 60ML,2,200.89286,401.79
130476,,AF F16 CLINQ HPY 60ML,4,200.89286,803.57
130477,,503 SUCTION HOOK,1,9.82143,9.82
130482,,MM MMLDW RF 500ML,4,63.49594,253.98
130488,,PEN 4M DAYS LT BLUE 55ML,3,44.41964,133.26
130489,,PEN 4M DAYS LT GRN 55ML,2,44.41964,88.84
130506,,PINE SOL LEMON 28oz,2,93.605,187.21
130508,,MOJITOS GOLD TEQ 750ML,114,136.10138,"15,515.56"
130546,,FOF SALABAT 250G,7,23.32023,163.24
130548,,Z BLESS TUYO CO HOT 220G,1,66.77419,66.77
130582,,DC TICK N FLEA SOAP 90G,1,38.18171,38.18
130583,,DC HERBAL SOAP 90G,5,45.45457,227.27
130584,,DC TICK N FLEA PWDR 50G,6,31.36389,188.18
130593,,O SHP HEADLICE T 60ML,2,47.21049,94.42
130594,,O SHP HEADLICE T 10ML,6,9.17363,55.04
130597,,EVE GOLD BAT A91BP4 4s,6,94.80916,568.85
130598,,EVE GOLD BAT E92BP4 4s,9,98.24004,884.16
130604,,AF F28 BLK CODE 60ML,2,200.89286,401.79
130673,,AF F3 TOMMY BOY 60ML,2,200.89286,401.79
130686,,EFF OIL EXTRM 100ML,80,102.67857,"8,214.29"
130693,,AF F55 BVL AQUA MAR 60ML,3,200.89286,602.68
130719,,C HYD PER V20 B 60ML,11,3.33726,36.71
130721,,NUTRO CHCO CRM WAF 75G,1,35.26786,35.27
130733,,SGUARD PAPAYA 60G,170,9.02628,"1,534.47"
130788,,GOOD LIFE VERM SOT 16oz,41,25.10774,"1,029.42"
130790,,JELLE S GUL P RED 135G,6,12.72867,76.37
130791,,JELLEE S GUL P GRN 135G,23,12.67103,291.43
130792,,JELLEE S GUL P CLR 135G,1,12.73058,12.73
130793,,J UNSW GUL P RED 24G,37,7.0266,259.98
130794,,J UNSW GULMN GRN 24G,24,6.98576,167.66
130797,,J UNSW GULMN P YEL 24G,24,7.03939,168.95
130798,,J UNSW GUL P WHT 24G,24,7.0192,168.46
130809,,HY ASTD CONJAC J 160G,41,15.44157,633.1
130811,,SS SUKA PUTI SUP 1L,692,24.34821,"16,848.96"
130812,,GATORADE GRAPE 500ML,210,22.57876,"4,741.54"
130886,,JB ASSORTED JELLY 12s,107,5.91794,633.22
130887,,JELLYBEE JELLY STICK 20s,78,6.70458,522.96
130902,,SF MANGO CR 800G,1,79.25167,79.25
130903,,SF CHICKEN CRCKR 650G,2,84.36333,168.73
130905,,SF CHSE CRCKR 600G,1,82.63389,82.63
130909,,BRICKS MILK CHOCO 18s,44,5.28225,232.42
130914,,SOCCER MC BALLS 25s,15,12.49959,187.49
130917,,MERRY M MILK CHOCO 100s,4,37.61731,150.47
130939,,LORINS PATIS PCH 150ML,160,5.91112,945.78
130945,,JB LYCHEE CONJAC J 18s,29,12.75,369.75
130947,,JELLYBEE LYCHEE JEL 12s,33,9.0875,299.89
130949,,EGO PUD JELLY STK 12s,31,5.77017,178.88
130961,,HY UBE CONJAC JEL 300G,19,24.182,459.46
130969,,PEPAYS SALABAT 80G,42,7.03876,295.63
130978,,D TIKBOY CURLS 20s,51,14.54836,741.97
130979,,D PINIPIG VAN C POP 20s,82,14.53125,"1,191.56"
131023,,HY MANGO PUD 160G,13,15.5455,202.09
131024,,JB EAT N DR CNDY 24s,354,13.61836,"4,820.90"
131025,,HY ASSTD CONJAC J 300G,79,24.1815,"1,910.34"
131046,,E ACEITE D ALC 25ML,1,5.77368,5.77
131048,,E SALICYLIC ACID 25ML,1,6.85429,6.85
131060,,E HYDRO PER 10VOL 120ML,2,4.31235,8.62
131063,,ELLES ACETONE 30ML,11,7.16416,78.81
131064,,ELLES ACETONE 60ML,3,9.50301,28.51
131066,,E ACEITE D MANZAN 25ML,4,6.4628,25.85
131148,,GM SPL SAMPALOC 12s,111,7.13394,791.87
131149,,GM SAMP BALLS CNDY 25s,22,8.03571,176.79
131181,,BRICKS MILK CHOCO 45s,20,12.48884,249.78
131205,,M LOVE COTTON 20G,7,5.73033,40.11
131253,,NESTLE CHUCKIE TB 1L,42,63.01506,"2,646.63"
131272,,NUTRO VANILLA CW 75G,1,35.26786,35.27
131277,,AF BBSC BERRY KISS 55ML,2,40.17857,80.36
131278,,AF BBSC CIT CHARM 55ML,11,40.17857,441.96
131409,,AF BBSC WHT LIGHT 55ML,1,40.17857,40.18
131411,,QUAKER FIO CHOCO 33G,483,7.54411,"3,643.81"
131416,,C ADLT DIAP BSC MED 1s,37,12.41154,459.23
131419,,C ROYALE CDL W 18X4s,19,31.09481,590.8
131423,,PETALS CDL W 18X4s,10,18.78821,187.88
131439,,TIFFANY SPL SOT 400G,8,31.58361,252.67
131469,,FAMILY TBAG XXL 10s,7,97.48944,682.43
131490,,POSH MP MOIST 380ML,2,234.20536,468.41
131491,,POSH MP MOIST 200ML,1,124.41964,124.42
131492,,POSH MP MOIST 12ML,114,4.53571,517.07
131499,,POSH MP FRSH 12ML,135,4.53571,612.32
131518,,R MARIE DUO PB 10s,8,42.61607,340.93
131520,,COL FC CC PPRMNT ICE 50ML,64,26.94254,"1,724.32"
131521,,COL FC CC PMNT ICE 95ML,35,42.7845,"1,497.46"
131522,,CFC CC PM ICE 145ML,17,62.64572,"1,064.98"
131523,,AF BBSC FRESH 55ML,4,40.17857,160.71
131524,,COL FC CC SPICY FR 50ML,60,26.91061,"1,614.64"
131525,,COL FC CC SPICY FR 95ML,39,42.76554,"1,667.86"
131526,,COL FC CC SPICY FR 145ML,17,62.60367,"1,064.26"
131534,,CELL 4X6 01 EXCELLENT,30,7.16453,214.94
131535,,WK CHAMPORADO 113G,24,18.14036,435.37
131551,,EXTRA FOLDED TN 350s,8,59.1628,473.3
131565,,DR J ETHYL ALC 70P 500ML,41,32.35409,"1,326.52"
131566,,R MAYONNAISE 470ML,13,"310,389.44","4,035,062.72"
131567,,ROGERS SWS PRM 225ML,47,28.33127,"1,331.57"
131568,,ROGERS SWS PRM 470ML,12,40.53359,486.4
131572,,ROGERS MAYONICE 3.5L,6,176.4,"1,058.40"
131577,,JBB PWDR PINK BLSM 100G,29,19.56006,567.24
131578,,JBB PWDR PINK BLSM 50G,79,11.55031,912.47
131585,,AF BBSC SPORTY 55ML,1,40.17857,40.18
131586,,IJ YUM EGG CKIES 210G,46,25.36778,"1,166.92"
131587,,BEAR BRAND STER TB 1L,50,57.38644,"2,869.32"
131602,,BIO ISO ALC 70P 500ML,18,37.1504,668.71
131603,,BIO ISO ALC 70P T 330ML,18,48.27189,868.89
131604,,BIO ISO ALC 70P 250ML,3,21.30156,63.9
131605,,JBB PWDR PINK BLSM 200G,2,36.45519,72.91
131609,,GARD SHP M CARE 180ML,12,70.1536,841.84
131613,,RG MACAPUNO CNDY 20s,14,6.81818,95.45
131618,,GIL FMY MENTHOL 175G,1,68.84985,68.85
131630,,PEN 4W DAYS LT PCH 55ML,10,44.41964,444.2
131631,,PEN 4W DAYS LT PK 55ML,10,44.41964,444.2
131634,,SGUARD SOAP GRN 60G,222,9.01723,"2,001.83"
131635,,SFG SOAP PNK 60G,556,9.02044,"5,015.36"
131645,,MR CKKR COCOA PUFF 20s,2,14.62167,29.24
131647,,SMILEYS VAN SW CKIES 65G,73,7.3565,537.02
131648,,SMILEYS CHOCO SWC 65G,57,7.34663,418.76
131653,,KG SULTANA BISC 12s,1,31.72222,31.72
131679,,GC GPS PCARE 100G/85G,6,14.33809,86.03
131691,,CHOCO MARBLE 25s,367,10.94421,"4,016.53"
131704,,PAYLESS PC H CHILI 130G,800,9.62485,"7,699.88"
131747,,SS VINEGAR 11+1/100ML,1,34.16964,34.17
131784,,BIOGENIC ISO ALC 70P 150ML,4,14.93891,59.76
131797,,CHEEZ IT HAM N CHSE 25G,"1,396",3.52769,"4,924.66"
131806,,PR M BLAST 500ML,3,21.05836,63.18
131809,,DP TABLIA CHOCO D 15G,"1,488",1.49942,"2,231.14"
131856,,ZEST O ORGE SQUIZ 1.5L,44,24.89076,"1,095.19"
131858,,HAPEE TP OB CHILL 25ML,13,12.07468,156.97
131859,,HAPEE TP OB CHILL 50ML,8,18.38856,147.11
131860,,HAPEE TP OB CHILL 100ML,8,29.4308,235.45
131861,,HAPEE TP OB CHILL 150ML,10,43.8865,438.87
131862,,ENERGIZER MAX E93BP2,1,120.49363,120.49
131872,,57 UMB PICK 25s,1,29.76951,29.77
131882,,P1134 NAPTHALENE,1,19.19643,19.2
131884,,CHAMP LD FL LFM 1L,5,109.625,548.13
131885,,CLD FL LW FM 1.6L,2,175.41964,350.84
131886,,CLD FL LOW FM 50ML,39,5.48214,213.8
131888,,MK BANANA KETCHUP 1L,1,27.42727,27.43
131889,,MK BANANA KETCHUP 330G,21,8.28028,173.89
131893,,BELO ESS PPYA LOT 100ML,2,72.86607,145.73
131920,,MB TYMANSI 350ML 12z,1,18.30923,18.31
131940,,80MG BONSAI,1,41.07143,41.07
131943,,PD 3 BONSAI,2,57.14286,114.29
131946,,ANCHOR B UNSAL 10/10G,160,4.40148,704.24
131947,,SS SOY SCE 11+1/100ML,8,41.74107,333.93
131955,,PEN HSS SF 50ML,5,34.82143,174.11
131972,,SEL COR VAN 110ML,51,13.88994,708.39
131979,,62068 DAI ACC KIT,1,5.6128,5.61
131982,,GLOW RND PP WHT 9 50s,131,31.85991,"4,173.65"
132008,,8008A NAPTHALN 5s,1,16.51786,16.52
132009,,A0943 NAPTHALENE,4,12.94643,51.79
132041,,SM 70P ETHYL AL 250ML,2,33.03571,66.07
132042,,SM 70P ETHYL AL 500ML,3,57.14286,171.43
132043,,SM 70P ETHYL ALC 1L,5,112.5,562.5
132064,,LB BS LEMN FRSH 3/110G,1,69.50893,69.51
132089,,DB FILTER SAFE PURFIER,1,269.527,269.53
132102,,ASAP CHICHRN 20/10G,376,14.7481,"5,545.29"
132117,,MP OYSTER SAUCE 250G,4,43.75455,175.02
132150,,POSH BRILLIANT SH 180ML,24,60.31421,"1,447.54"
132188,,ANISE EXTRACT 120ML,3,14.10867,42.33
132189,,MK BANANA KETCHUP 1GAL,1,70.96,70.96
132196,,OISHI CHOCO FLK 26G,11,2.31502,25.47
132197,,OISHI CHOCO FLK 90G,97,9.48778,920.31
132198,,JUICY COL A BLISS 25ML,28,9.6055,268.95
132199,,JUICY COL A BLISS 50ML,20,15.91445,318.29
132202,,JUICY COL SW T/DEL 50ML,95,16.01253,"1,521.19"
132203,,JUICY COL SW DL 125ML,66,31.42761,"2,074.22"
132204,,JUICY COL ORG TWST 25ML,39,9.93461,387.45
132207,,JUICY COL S SPRNKL 25ML,31,9.71019,301.02
132208,,JUICY COL C CPRNKL 50ML,13,16.38152,212.96
132209,,JUICY COL S SPRNKL 125ML,9,31.644,284.8
132210,,JUICY COL DRMSICL 25ML,34,10.00014,340
132212,,JUICY COL DRMSICL 125ML,15,32.44669,486.7
132213,,J COL ICYLICIOUS 25ML,13,9.74618,126.7
132214,,J COL ICYLICIOUS 50ML,11,16.4276,180.7
132215,,J COL ICYLICIOUS 125ML,8,35.59989,284.8
132251,,DROSER VC BIG W 6s,2,27.97152,55.94
132253,,D SANT FILR SMLST YEL,2,10.7809,21.56
132270,,KSK BC CHSE CORN 80G,63,9.78148,616.23
132272,,SINBAD GP CHIL GRLC 20s,19,14.55866,276.61
132275,,CHRS PNAP 2P REF 200sht,44,15.13522,665.95
132283,,BALER F8 SWC AD S10,6,58.03571,348.21
132293,,OLYMPIC AF RF 8m,1,22.32143,22.32
132326,,BORA F4 SWC AD S8,1,58.03571,58.04
132342,,SANICARE COTTON 45G,63,18.82022,"1,185.67"
132343,,SANICARE COTTON 90G,8,16.13841,129.11
132344,,SANICARE COTTON 300G,8,21.57952,172.64
132345,,SANICARE COT BALLS 50s,75,5.83603,437.7
132349,,FEMME IF PTOWEL 175s,14,28.879,404.31
132350,,SCARE COT BUDS 108T,46,5.65934,260.33
132372,,MSB C GRATER SPOON,27,11.9254,321.99
132375,,GATSBY SW HARD F 75G,3,66.40571,199.22
132378,,EB EYEBROW RAZOR,3,44.64286,133.93
132392,,18816 TUMBLER 530ML,1,82.14286,82.14
132395,,922 DP WH PINK,13,27.56118,358.3
132411,,MM BC FLORAL 450ML,3,52.75893,158.28
132431,,BORA F4 SWC AD S10,9,58.03571,522.32
132433,,ALB RND KIWI 50G,14,20.6875,289.63
132434,,ALB RND KIWI 100G,1,27.277,27.28
132436,,922 DP WH AQUA GREEN,8,13.79818,110.39
132463,,EMPE LIGHT 750ML W/CM,195,90.625,"17,671.88"
132499,,MB BARBECUE SCE 12oz,1,26.43622,26.44
