ISLAND CITY MALL,,,,,
POS UNPOSTED SALES,,,,,
"AS OF APRIL 27, 2022",,,,,
Item No.,Variant Code,Description,Quantity,Unit Cost,Amount
102744,,KOTEX FRESH UNS 8s,2,12.1439,24.29
102746,,KOTEX FRESH SCENT 8s,1,12.13364,12.13
102752,,JOY POP UP AP TISSUE 40s,5,5.49469,27.47
102765,,386 PLANET RD TOPPERS,1,22.32143,22.32
102781,,DM PJ 4/202 wf TIDBITS,6,92.85714,557.14
102782,,DM PJ 3/202 wf TDBITS,8,69.64286,557.14
102785,,VIR COND SCC 2/390G,14,61.60714,862.5
102786,,V PLUS MILK VAN 300ML,21,24.10714,506.25
102790,,PC CLSC PLN SLTD 130G,49,49.73214,"2,436.87"
102799,,REF MINERAL SW 1L,48,11.07143,531.43
102801,,PURITY COT ROLLS 90G,7,24.43415,171.04
102802,,PURITY COT ROLL 300G,2,70.98824,141.98
102803,,PURITY COT BALLS 300s,12,36.69088,440.29
102804,,PURITY COT BUDS 190T,4,13.44029,53.76
102807,,CHIPS AHOY GRCRY 266G,3,60.89534,182.69
102808,,CHIPS AHOY DC 85.5G,65,21.55845,"1,401.30"
102810,,OREO C CRM CKIES 137G,39,19.47176,759.4
102814,,OREO CKIES D STUFF 152.4G,2,23.32797,46.66
102819,,c AHOY CONV 142.5G,106,32.72953,"3,469.33"
102821,,K CHEDR 440G/430G,15,101.51184,"1,522.68"
102822,,EDEN CHEESE 165G,"1,847",26.63064,"49,186.79"
102823,,K EDEN CHESE 430G,2,67.54921,135.1
102827,,K CW PLN 220G/210G,92,44.15155,"4,061.94"
102829,,K CW PMTO 450G/440G,1,88.47494,88.47
102866,,BIGEN HAIR DYE A BLCK,8,40.1785,321.43
102883,,KATEENSON BABY OIL 25ML,42,7.54185,316.76
102884,,KATEENSON BABY OIL 50ML,48,9.33133,447.9
102885,,KATEENSON BABY OIL 80ML,14,13.59477,190.33
102888,,EVAN HAIR POMADE 25g,3,322.31328,966.94
102889,,EVAN HAIR POMADE 50G,2,172.72899,345.46
102964,,DAZZ DWP LEM C 1KL,12,62.37,748.44
102966,,CLVR C HAM N CHSE 85G,36,15.3571,552.86
102967,,CLVER C HAM n CHSE 145G,6,23.96663,143.8
102968,,CLOVER CHIPS CHEESE 27G,907,3.74108,"3,393.16"
102969,,C CHIPS CHSE 55G,55,9.9749,548.62
102970,,CLOVER CHIPS CHEESE 85G,54,14.49749,782.86
102971,,CLOVER CHIPS BBQ 27G,"1,474",3.74111,"5,514.40"
102973,,CHEEZY C CRUNCH 22G,436,3.2282,"1,407.50"
102985,,SAN ING CRM 10G OVAL,4,13.65859,54.63
102986,,SAN ING PEARL CRM J 12G,5,16.7253,83.63
102991,,WHT FLWR CLSSC 2 10ML,8,92.83406,742.67
102992,,WHT FLWR CLSC No3,42,53.95315,"2,266.03"
102995,,SB SB WHT MED 100s,90,41.3497,"3,721.47"
102998,,LOR SUKANG SASA 1GAL,2,61.98491,123.97
103000,,L SUKANG SASA NIPA 1L,13,17.62397,229.11
103003,,LORINS SOY SAUCE 1000ML,6,21.51285,129.08
103004,,LORINS B BAGOONG S 312G,2,16.21243,32.42
103005,,LORINS PATIS PL 350ML,48,11.91171,571.76
103006,,LORINS G PATIS 1/2G,8,60.23283,481.86
103007,,LORINS G PATIS 1GAL,3,101.075,303.23
103008,,LORINS PATIS AP 1L,18,32.45151,584.13
103010,,LORINS PATIS BDGET PCK 350ML,1,32.93426,32.93
103020,,MARCA LEON VEG OIL 1GAL,6,237.64168,"1,425.85"
103025,,M LEON CORN OIL 1GAL,6,290.30657,"1,741.84"
103045,,GOLDN BAY MACKRL 425G,37,25.07438,927.75
103047,,GC CORNED BEEF 100G,28,8.60416,240.92
103049,,VINO KULAFU 350ML,"1,399",12.76042,"17,851.83"
103051,,GSM FRASQUITO 350ML,57,19.59217,"1,116.75"
103052,,GINEBRA SAN MIGUEL FC 700ML,66,39.07186,"2,578.74"
103053,,GS MIGUEL ROUND 350ML,44,19.52293,859.01
103055,,GSM BLUE D/LIGHT 700ML,73,41.44636,"3,025.58"
103058,,VIVA MIN WTR 330ML,24,6.07594,145.82
103059,,VIVA MIN WATER 500ML,100,8.64639,864.64
103067,,GLOW DWL APPLE F 300ML,1,19.95,19.95
103068,,STAR MARG CLASSIC 100G,267,14.13405,"3,773.79"
103069,,STAR MARG CLASSIC 250G,136,33.57765,"4,566.56"
103070,,MAG QM REG 950G/900G,11,248.4074,"2,732.48"
103071,,MAG CHZE REG 440G/400G,96,74.3375,"7,136.40"
103097,,LIPOVITAN SYR 100ML,50,19.64504,982.25
103100,,WILKINS DIST WTR 1L,43,16.15232,694.55
103101,,WIL DIST WTR 1.5L,7,14.49341,101.45
103106,,AMINO IKT W/ARGN OIL 20G,6,4.46429,26.79
103108,,KAR HR SPA TRT W/AO 20G,6,4.46429,26.79
103109,,KET HO TRT W/AO 20G,27,4.46429,120.54
103110,,KER CHOC T W/AO 20G,29,6.25,181.25
103139,,DENTAL B PLUS AD SOFT,23,27.10145,623.33
103140,,DENTAL B PLUS AD MED,40,24.95198,998.08
103141,,DENTAL B PLUS JR SOFT,7,18.6362,130.45
103142,,DENTAL B PLUS AD HARD,20,25.36126,507.23
103145,,DENTAL B SP TB WBRISTLE,18,9.18658,165.36
103146,,DENTAL B BASIC JR S10,22,26.44015,581.68
103147,,DB BASIC AD SOFT S10,16,29.1454,466.33
103148,,DB BASIC AD MED S10,21,29.15852,612.33
103149,,DB BASIC AD HARD S10,20,28.99054,579.81
103150,,DENTAL Bplus JR SOFT S20,2,34.52348,69.05
103151,,DENTAL Bplus AD SOFT S20,15,38.33165,574.97
103152,,DENTAL Bplus AD MED S20,12,37.78492,453.42
103153,,DENTAL Bplus AD HARD S20,12,36.92104,443.05
103154,,ESK CLSC WFC GRAINS 75ML,21,19.44154,408.27
103155,,ESK FC CLSC WG 225ML,13,41.58886,540.66
103156,,M FC OC CLEAR 225ML,2,41.37649,82.75
103157,,M FC OIL CNTRL CLEAR 70ML,13,21.07578,273.99
103158,,M FC OIL CNTRL CLR 135ML,6,31.81262,190.88
103159,,MASTER ANTI ACNE 70ML,22,23.04306,506.95
103160,,MASTER FC A ACNE 135ML,14,33.10419,463.46
103161,,MASTER FC A ACNE 225ML,4,51.02788,204.11
103165,,ESK FC PF DERM C 75ML,75,22.09817,"1,657.36"
103166,,ESK FC PF DERM C 135ML,42,33.58515,"1,410.58"
103167,,ESK FC PF DERM C 225ML,16,48.91416,782.63
103171,,ESK CLSC WHTNG FC WG 135ML,14,29.41901,411.87
103174,,ESK FC CLSC WHT 135ML,14,29.88147,418.34
103176,,ESK FC SW CALMNSI 225ML,8,41.91487,335.32
103179,,ESK FC SW CALMNSI 75ML,26,18.90059,491.42
103180,,ESK FC SW CALMNSI 135ML,14,30.11931,421.67
103191,,NISSIN CUBEE VF 25G,18,4.8125,86.63
103192,,NISSIN CUBEE CNC 25G,75,3.78656,283.99
103194,,BREAD STIX 35G,145,4.23214,613.66
103195,,BREAD STIX 130G,48,13.36607,641.57
103196,,NISSIN B COCONUT 90G,353,7.89286,"2,786.18"
103200,,MAXX VITAMIN C 25s,7,27.23214,190.62
103201,,MAXX VITAMIN C 7s,40,8.4375,337.5
103202,,NT AVCDO CAR 1.3L,6,215.09821,"1,290.59"
103204,,N EGGNOG REG 10/18G,240,29.91071,"7,178.57"
103205,,BINGO VAN 10/28G,308,27.05535,"8,333.05"
103206,,NT SB n CREAM 1.3L,7,215.09821,"1,505.69"
103212,,G LION SUK PUTI 1L,2,14.43621,28.87
103213,,G LION SUK PUTI 1G,1,46.50871,46.51
103218,,ABC TONGOG,120,4.00428,480.51
103219,,CELL 2X10 CHAMPION,24,5.53532,132.85
103221,,SISTERS NETSIDE NU 8s,"1,063",15.37674,"16,345.47"
103222,,SISTERS NETSIDE DU 8s,82,13.89347,"1,139.26"
103223,,SISTERS SF DAY WING 8s,806,12.15823,"9,799.53"
103224,,SISTERS SF NIGHT WW 8s,676,12.97412,"8,770.51"
103225,,SISTERS S FLOSS DU 1s,"4,872",1.46019,"7,114.05"
103227,,SISTERS PL BRTHBLE 20s,40,14.73586,589.43
103228,,SISTERS SF UT W 6s,126,11.65095,"1,468.02"
103229,,SISTERS SF NU WW 4s,28,7.01395,196.39
103230,,SISTERS SF DAY USEW 4s,29,6.39833,185.55
103235,,PAN EHD 9V 6F22NPT/1B,13,38.07028,494.91
103244,,TOYO SARD TS GRN 155G,40,7.67266,306.91
103249,,NELITA BLOAF 150G,823,10.11728,"8,326.52"
103250,,NELITA C BEEF 150G,"1,250",14.55474,"18,193.43"
103253,,NELITA SP EGG MIKI 500G,39,21.01335,819.52
103254,,NEL SP PANCIT Y 50G,455,2.3066,"1,049.50"
103258,,FEST SUGAR SACHET 12s,63,6.12396,385.81
103266,,GH CORNSTARCH 400G,2,17.10426,34.21
103268,,RBULL SUPRM 150ML,273,21.36878,"5,833.68"
103270,,GATSBY WGLOSS SOFT 8G,39,2.75962,107.63
103272,,GATSBY WG SOFT 100G,3,46.82458,140.47
103273,,GATSBY WG SOFT 150G,2,62.04037,124.08
103276,,GATSBY WG SH 100G,4,49.72492,198.9
103279,,GATSBY WG HARD 100G,5,46.65215,233.26
103282,,GATSBY T HAIR CRM 6G,51,2.60118,132.66
103283,,GATSBY TH CREAM 70G,2,35.28741,70.57
103286,,GATSBY TH CREAM AD 6G,55,2.60615,143.34
103297,,FESTIVAL BIHON YEL1KL,14,42.91035,600.74
103298,,VIVA SP BIHON WHT 400G,15,14.58833,218.82
103300,,VIVA SP BIHON WHT 1KL,2,34.46442,68.93
103304,,M Y SAN GRAHAM CHOC 225G,24,20.74854,497.96
103305,,SKYFLAKES 24/25G,599,65.45014,"39,204.63"
103306,,FITA BISCUIT 2 600G,98,106.5625,"10,443.13"
103307,,FITA SLUGS 80G,163,7.85714,"1,280.71"
103311,,NS MIN WATER 1.5L,446,13.83728,"6,171.43"
103313,,NS MIN WTR 6.6L,42,36.63959,"1,538.86"
103317,,NS DIST WTR 500ML,13,6.59205,85.7
103322,,NECO BANANA 1QUART,3,43.53583,130.61
103325,,N LEMON CONC 1GAL,1,68.05455,68.05
103328,,N P/APPLE EXT 60ML,12,6.06519,72.78
103331,,N SBERRY EXT 120ML,4,8.53029,34.12
103332,,N VANILLA EXT 60ML,12,6.16601,73.99
103334,,NECO VAN EXT1QUART,9,42.93,386.37
103335,,N VANILLA CON 1GAL,29,68.05089,"1,973.48"
103351,,MILO ACTIV GO 300G,452,55.91106,"25,271.80"
103354,,NESTLE CHUCKIE 250ML,550,16.70956,"9,190.26"
103362,,COFEMATE SUP 450G/500G,64,55.21,"3,533.44"
103365,,NES M BALLS 330G,8,97.19078,777.53
103369,,NES K KRUNCH 500G,12,132.67313,"1,592.08"
103379,,LIB CNDNSADA SCM 300ML,253,31.0866,"7,864.91"
103403,,NESTLE FRESH MILK 250ML,287,23.04562,"6,614.09"
103405,,MAG SAVOR CLSIC 130ML,25,21.04033,526.01
103431,,KIWI LIQ SP BROWN 30ML,6,36.62642,219.76
103439,,KIWI PASTE SPOL BLK 45ML,4,53.33456,213.34
103442,,KIWI SHOE C BROWN 5ML,38,4.71678,179.24
103443,,KIWI SHOE CRM BLK 5ML,172,4.62252,795.07
103453,,SL PURE STARCH 12s,59,10.17513,600.33
103454,,SL PURE STARCH 12s,31,7.20886,223.47
103472,,F CHOICE EGG NDLE 500G,15,19.72577,295.89
103494,,EOC LEMON TEA 400G,18,39.25028,706.51
103496,,EOC LEMON TEA 800G,11,72.15672,793.72
103507,,PF STAR BEEF LOAF 150G,91,11.56636,"1,052.54"
103512,,PF CORNED BEEF 150G,189,33.6753,"6,364.63"
103513,,PF CORNED BEEF 210G,85,47.5176,"4,039.00"
103514,,PF CORNED BEEF 380G,24,80.24985,"1,926.00"
103515,,PF CHUNKEE CBEEF 190G,6,27.58009,165.48
103525,,PF CHINESE LMEAT 165G,274,21.94309,"6,012.41"
103527,,PF CHINESE LMEAT 350G,40,40.16253,"1,606.50"
103539,,S SWAN CANE VIN 200ML,709,3.64673,"2,585.53"
103540,,S SWAN CANE VIN 385ML,71,9.40319,667.63
103542,,S SWAN CANE VIN 1L,78,20.50512,"1,599.40"
103543,,S SWAN CANE VIN 1/2GAL,49,41.43432,"2,030.28"
103545,,SS SKNG PUTI 200ML,"6,592",3.63722,"23,976.55"
103547,,SS SUKA PUTI 385ML,285,9.35198,"2,665.31"
103548,,S SWAN SUKANG PUTI 1L,208,20.67899,"4,301.23"
103549,,S SWAN SUKANG PUTI 1/2G,283,41.76822,"11,820.41"
103550,,S SWAN SUK PUTI 1GAL P,89,71.70223,"6,381.50"
103557,,LAURIAT SS 1GAL PLST,1,82.93864,82.94
103558,,S SWAN SOY SCE 200ML,"9,296",4.6875,"43,575.00"
103560,,S SWAN SOY SCE 385ML,754,9.84415,"7,422.49"
103562,,S SWAN SOY SCE 500ML,588,13.08389,"7,693.33"
103564,,S SWAN SOY SAUCE 1L,607,24.40477,"14,813.70"
103565,,S SWAN SOY SCE P 1GAL,210,78.72769,"16,532.81"
103566,,S SWAN SOY SCE P 1/2G,453,46.49062,"21,060.25"
103567,,SILVER SS SAUCE 19L,15,309.822,"4,647.33"
103576,,COFFEE CARAMEL 100s,4,32.14936,128.6
103595,,JOY ULTRA KAL 250ML,27,42.50249,"1,147.57"
103596,,JOY UL DWL LEMON 250ML,30,42.32604,"1,269.78"
103601,,JOY ANTIBAC 36ML,35,9.61656,336.58
103602,,JOY DWL AB 240ML,19,46.53685,884.2
103645,,PERLA BLUE 380G,122,23.96281,"2,923.46"
103647,,PERLA WHITE 380G,63,32.55097,"2,050.71"
103654,,VICKS VAPORUB 50G,20,67.5583,"1,351.17"
103655,,VICKS INHALER,39,34.529,"1,346.63"
103658,,PAMPERS BB BSC M 22s,2,119.95806,239.92
103666,,PAMPERS BB BSC XL 10s,6,58.37006,350.22
103714,,HS SH C MNTHL 180ML/170ML,44,80.69115,"3,550.41"
103721,,SGRD SOAP WHITE 25G,"1,038",4.99765,"5,187.56"
103722,,454CT MS TOOTHBRUSH,4,9.30357,37.21
103723,,SFG SOAP PK ALOE 130G,137,22.89846,"3,137.09"
103724,,SFG SOAP BEIGE 130G,170,22.89247,"3,891.72"
103725,,SFG WHITE 130G,126,22.85079,"2,879.20"
103728,,SGUARD SOAP GRN 130G,51,22.97157,"1,171.55"
103745,,MAURI INST D YST 500G,61,84.37351,"5,146.78"
103747,,MS CHOPSUEY STIR 40G,53,18.71132,991.7
103751,,MS SWT SOUR MX 57G,23,14.9257,343.29
103754,,M PINA CANE VIN 350ML,2,6.78527,13.57
103755,,M PINA CANE VIN 1LT,6,19.1525,114.92
103756,,M PINA CANE VIN 1/2GAL,8,34.35333,274.83
103757,,M PINA CANE VIN 1GAL P,2,59.375,118.75
103758,,M PINA CANE VIN 500ML,9,8.98,80.82
103759,,M PINA SKANG PUTI 350ML,2,6.78492,13.57
103761,,M PINA SKANG PUTI 1LT,7,17.67122,123.7
103763,,M PINA SOY SCE 350M,2,7.8243,15.65
103764,,MARCA PINA SOY SCE 1LT,11,19.28083,212.09
103772,,CHAMP BR TP BLUE 145G,23,5.09029,117.08
103773,,CHAMP BR TP RSC 145G,65,5.06013,328.91
103798,,ROYAL FIL SCE PPCK,1,85.03571,85.04
103815,,SURF BAR TAWAS 380G,203,13.29733,"2,699.36"
103817,,SURF BAR BLUE 380G,33,13.28672,438.46
103819,,SURF B KALMNSI 380G,359,13.30464,"4,776.37"
103823,,BF BS FRSH WHT MSK 94ML,5,177.67857,888.39
103825,,SURF BAR FC BF 360G,375,15.05532,"5,645.75"
103828,,BF BS VANILLA 94ML,8,177.67857,"1,421.43"
103833,,BRZ P ACTV BLCH 700G,31,62.62167,"1,941.27"
103840,,VAS HW FF UV LOT 100ML,7,158.70536,"1,110.94"
103841,,VAS HW FF UV LOT 350ML,2,250.26786,500.54
103842,,VAS HW FF UV LOT 200ML,12,158.70536,"1,904.46"
103847,,DVE BS GLW LOTUS 100G,44,40.22321,"1,769.82"
103862,,DM SPA 6/240ML,5,117.34821,586.74
103863,,DM 4SSN 6/240ML,20,117.34821,"2,346.96"
103874,,MM TBC TLTSHLD 500ML,7,80.35714,562.5
103875,,POSH IM 11+1/15ML,393,41.74107,"16,404.24"
103876,,POSH HS 11+1/15ML,338,41.74107,"14,108.48"
103877,,POSH SHP SS 11+1/15ML,122,41.74107,"5,092.41"
103878,,CELTEQUE HYD MIST 50ML,1,116.46429,116.46
103902,,NES DS CHOCO VAN 100ML,5,16.23214,81.16
103907,,NOB 3n1 CH MNGA UBE 1.5L,5,81.16964,405.85
